coin,timestamp,price,market_cap,volume
bitcoin,2025-05-23 13:03:32.146,108482.10601164782,2155967111930.8184,43856329910.64223
bitcoin,2025-05-23 14:03:39.122,109275.65044825088,2168440109685.2207,46715079771.188736
bitcoin,2025-05-23 15:00:01.242,109839.6038386153,2181991343419.1096,46908216571.36788
bitcoin,2025-05-23 16:04:01.380,109423.79552995846,2174865011643.304,47009632020.07192
bitcoin,2025-05-23 17:08:09.843,109031.57767812967,2166060939305.9568,48371607905.88711
bitcoin,2025-05-23 18:04:01.327,109512.70343609044,2176164451880.4468,48242297557.04611
bitcoin,2025-05-23 19:03:54.077,108897.93222484984,2163679247161.8584,48520528481.46604
bitcoin,2025-05-23 20:03:32.374,108849.9993769784,2163372820596.6265,48479317403.00142
bitcoin,2025-05-23 21:03:20.956,108378.61029552908,2153391814248.9329,47978660550.07922
bitcoin,2025-05-23 22:03:21.800,108370.71855030884,2155088954811.3447,48047672612.62941
bitcoin,2025-05-23 23:03:41.346,107925.98663757442,2145691782947.62,48482967402.18916
bitcoin,2025-05-24 00:02:38.255,107216.66856870624,2131595896624.441,49251745837.96465
bitcoin,2025-05-24 01:03:49.220,107448.81236982298,2134893039007.9573,49743774184.87975
bitcoin,2025-05-24 02:03:35.796,107560.90623540942,2137536353060.962,49128978095.66651
bitcoin,2025-05-24 03:03:34.630,107785.85862363828,2141579759133.422,48580435154.985855
bitcoin,2025-05-24 04:08:36.716,108313.99818936097,2151868448267.5728,48535888345.615685
bitcoin,2025-05-24 05:04:07.203,108519.64419891508,2156319422884.2576,47876579693.54917
bitcoin,2025-05-24 06:04:13.680,108220.18125322252,2150225262074.5432,47675596851.22188
bitcoin,2025-05-24 07:03:45.140,107933.6541256463,2143939527789.2583,47384603351.832855
bitcoin,2025-05-24 08:03:47.004,107863.55438184296,2143801504271.6028,46860430341.108086
bitcoin,2025-05-24 09:03:16.498,108129.3018624134,2148430956868.9617,46683173355.17016
bitcoin,2025-05-24 10:03:52.753,108246.10379946268,2150787389441.188,46314287963.53068
bitcoin,2025-05-24 11:08:31.591,109064.4987551144,2166322678571.96,47585643800.14781
bitcoin,2025-05-24 12:03:32.933,109293.09324020769,2171554672463.6443,47726784204.79028
bitcoin,2025-05-24 13:03:50.204,108864.12667482972,2162408388258.4905,40180205964.09152
bitcoin,2025-05-24 14:03:44.307,108706.06301655056,2159942079514.12,37900458606.02448
bitcoin,2025-05-24 15:03:43.344,108925.84641221556,2164230657514.917,35124247354.48152
bitcoin,2025-05-24 16:02:39.661,108927.98929382108,2164269394278.851,33639361672.074337
bitcoin,2025-05-24 17:03:43.052,108958.7961120567,2164716697775.367,31114276107.1028
bitcoin,2025-05-24 18:01:37.512,109004.6382762397,2166126429564.3704,29619361049.739967
bitcoin,2025-05-24 19:03:34.274,108891.00849725526,2164036398471.837,29062749361.144825
bitcoin,2025-05-24 20:08:14.101,108931.99882488413,2164553328783.7664,27618137059.17811
bitcoin,2025-05-24 21:03:51.494,108997.68134477748,2166019728719.139,27332101055.17219
bitcoin,2025-05-24 22:04:03.918,108794.66338557926,2161888087743.9907,26330061672.931465
bitcoin,2025-05-24 23:03:28.614,108324.50385270144,2152403702934.213,26440598353.23977
bitcoin,2025-05-25 00:04:06.192,107819.0350096744,2142405664367.88,27104028049.82196
bitcoin,2025-05-25 01:03:39.263,107560.35547040866,2138314982888.712,27129191797.441628
bitcoin,2025-05-25 02:03:52.676,107805.05054769135,2142072073874.43,27418508785.670773
bitcoin,2025-05-25 03:03:30.037,107891.31778165784,2143380536610.0432,27780279101.19633
bitcoin,2025-05-25 04:03:47.956,108184.7574415441,2149567842280.378,27600293815.63953
bitcoin,2025-05-25 05:03:52.943,108231.15647527888,2150386293968.336,27314309353.54673
bitcoin,2025-05-25 06:03:38.005,108102.18328418584,2147830755781.7056,27125382525.234222
bitcoin,2025-05-25 07:00:41.085,107951.01042113108,2144992614929.833,26726724721.976093
bitcoin,2025-05-25 08:03:58.315,107663.82255307952,2139234740883.609,26281806301.231647
bitcoin,2025-05-25 09:03:50.649,107202.86952067463,2130076763365.13,26765802381.48938
bitcoin,2025-05-25 10:03:37.774,107008.50025844328,2125902775584.548,27765601317.68688
bitcoin,2025-05-25 11:04:06.224,107111.615322162,2129129646194.6409,26929644677.44028
bitcoin,2025-05-25 12:03:37.710,107229.97600422136,2130365404792.0989,25206870655.978523
bitcoin,2025-05-25 13:03:34.446,107508.5781464207,2135930589447.7163,23086955466.21981
bitcoin,2025-05-25 14:08:16.317,107595.448328703,2138224320696.5857,23092943045.06764
bitcoin,2025-05-25 15:04:06.274,107399.45153782984,2135646469195.5952,23334131371.24849
bitcoin,2025-05-25 16:06:47.476,107026.63689919372,2126737905543.0845,27138170598.194057
bitcoin,2025-05-25 17:03:38.485,107194.49682019958,2129855310713.994,28748614936.708195
bitcoin,2025-05-25 18:03:58.059,107361.5260704022,2133224974343.8564,28555663787.986805
bitcoin,2025-05-25 19:03:55.898,107471.24209039177,2135661663894.4165,28594903017.690308
bitcoin,2025-05-25 20:08:26.003,107709.73380969735,2140291882410.733,28495306322.157364
bitcoin,2025-05-25 21:04:10.925,107678.78258621048,2139394616640.2656,28706813769.98061
bitcoin,2025-05-25 22:08:16.025,107551.76007320086,2136291953031.6643,27213844626.12243
bitcoin,2025-05-25 23:03:47.233,108943.10357431156,2162905704656.4688,30567377081.05908
bitcoin,2025-05-26 00:04:06.694,108900.60971032295,2163749697192.664,29539064701.45235
bitcoin,2025-05-26 01:03:32.383,109332.30422322398,2170150042915.4336,29182691334.28435
bitcoin,2025-05-26 02:01:47.657,109644.0944843374,2178509619699.6584,29242071417.451645
bitcoin,2025-05-26 03:03:14.420,109381.21101171852,2173383571985.505,29656856420.6108
bitcoin,2025-05-26 04:03:38.116,109640.14949568055,2178654307923.375,29888349683.32505
bitcoin,2025-05-26 05:03:44.286,109640.30065478676,2178890445944.641,30230874656.085167
bitcoin,2025-05-26 06:06:33.043,109693.05457264248,2179680039621.953,30490557810.482883
bitcoin,2025-05-26 07:03:40.522,109763.75542821016,2179782374054.1345,30964957554.730843
bitcoin,2025-05-26 08:04:17.742,110069.996555907,2186248202263.68,29837776557.491253
bitcoin,2025-05-26 09:03:35.678,109764.40402717776,2181219253548.8289,31092553018.222134
bitcoin,2025-05-26 10:03:45.795,109800.80370209024,2181658445007.876,30359501986.82244
bitcoin,2025-05-26 11:03:51.530,109783.71368255348,2181905136443.0813,29595386731.93386
bitcoin,2025-05-26 12:03:37.003,109774.3014463,2181213284026.252,29069406263.265484
bitcoin,2025-05-26 13:03:36.647,109869.6891355584,2181569906401.776,28522007347.817028
bitcoin,2025-05-26 14:04:11.243,109689.0102145158,2179705781561.5337,28794905368.198174
bitcoin,2025-05-26 15:01:59.789,109655.67460232694,2178669701812.5205,28135666082.28477
bitcoin,2025-05-26 16:03:48.086,110094.41474441696,2187589782773.4067,25560623365.09827
bitcoin,2025-05-26 17:03:39.775,109470.221517873,2175211075923.7944,26416840061.59956
bitcoin,2025-05-26 18:03:49.693,109188.5957649634,2169610208025.632,28753832268.599533
bitcoin,2025-05-26 19:02:38.736,109254.39362970593,2171689200693.9883,29899223630.033943
bitcoin,2025-05-26 20:07:14.702,109047.5799910894,2166837366405.1511,30145088482.988613
bitcoin,2025-05-26 21:03:53.839,109519.24046634996,2175563428651.391,30768347550.913853
bitcoin,2025-05-26 22:03:39.726,109310.25554235582,2171839913221.3208,30748822938.63992
bitcoin,2025-05-26 23:03:53.724,109324.18231895837,2172560022703.1768,28994595047.12939
bitcoin,2025-05-27 00:02:20.891,109393.7426319189,2173474303677.281,27923902143.422043
bitcoin,2025-05-27 01:04:13.794,109244.47199363296,2171191610005.2705,27180278072.843544
bitcoin,2025-05-27 02:01:30.695,108404.65342061548,2153335825550.9343,26849631380.37361
bitcoin,2025-05-27 03:08:28.889,108291.51316543337,2151871422997.6704,28997857054.72705
bitcoin,2025-05-27 04:03:37.471,108942.88237705643,2164730855556.5493,27891787560.940186
bitcoin,2025-05-27 05:03:26.065,109098.68870043928,2168264178585.4573,30222355919.096416
bitcoin,2025-05-27 06:03:22.593,108882.08477088844,2162257820531.1504,30367785538.212727
bitcoin,2025-05-27 07:02:05.013,109070.30749202636,2167992557660.5337,31279953309.85297
bitcoin,2025-05-27 08:03:27.808,109494.22607246385,2175707318551.64,30974242899.308105
bitcoin,2025-05-27 09:03:53.283,109657.20614424704,2178848030241.4744,30828527999.958366
bitcoin,2025-05-27 10:09:53.518,109779.06864983166,2181366807634.893,31593081026.312683
bitcoin,2025-05-27 11:03:50.253,109723.76011973014,2180380695030.1697,31343035890.40501
bitcoin,2025-05-27 12:02:50.216,109553.04118184176,2176782295231.8284,31635641353.697456
bitcoin,2025-05-27 13:05:49.034,109610.43332368213,2178020051653.024,31811618106.45056
bitcoin,2025-05-27 14:03:50.506,110129.16760407812,2189282512795.6973,34971704880.13576
bitcoin,2025-05-27 15:01:51.799,109507.13569401362,2175918130641.7805,37471818700.87736
bitcoin,2025-05-27 16:04:05.218,110099.5766081106,2187622579143.04,37903956344.07148
bitcoin,2025-05-27 17:03:29.935,110370.16947230526,2193546046644.077,37208339210.88788
bitcoin,2025-05-27 18:08:04.268,110318.49048090648,2192810883967.84,37318439709.118286
bitcoin,2025-05-27 19:03:46.422,109960.78522608872,2185662725730.5425,37443798379.63586
bitcoin,2025-05-27 20:03:46.234,109888.52719903603,2183499516136.106,37844220200.36064
bitcoin,2025-05-27 21:03:43.413,109727.0086155748,2180774437301.5857,37734603408.31211
bitcoin,2025-05-27 22:03:33.736,109037.67578729724,2166721637561.3435,38208576006.42997
bitcoin,2025-05-27 23:03:52.000,109024.62093375556,2166089168915.2583,38831461947.39646
bitcoin,2025-05-28 00:03:41.087,109068.45694901443,2167551887130.008,38978783508.88622
bitcoin,2025-05-28 01:03:58.790,109079.40649336849,2166914886619.3533,39308248860.43102
bitcoin,2025-05-28 02:03:36.433,108886.3845735417,2164290711154.9087,36716813953.38908
bitcoin,2025-05-28 03:01:28.058,108768.19988265696,2161453664802.5488,36747901241.05954
bitcoin,2025-05-28 04:03:42.405,108884.0259038373,2163865642007.8145,35701101125.440125
bitcoin,2025-05-28 05:19:15.582,108940.1773451005,2164673068552.4053,35206832637.72625
bitcoin,2025-05-28 07:12:46.361,108862.36961142332,2161793902815.381,33857691277.053764
bitcoin,2025-05-28 07:17:05.091,108889.6119472418,2163252136707.2693,33762526405.347023
bitcoin,2025-05-28 08:26:19.714,108882.04806565148,2165012560390.538,32895350842.046383
bitcoin,2025-05-28 10:46:15.101,108709.61989815888,2157648455191.629,33434182142.66056
bitcoin,2025-05-28 11:25:43.765,108863.60728588802,2162518180365.4849,33201056436.61601
bitcoin,2025-05-28 11:49:21.181,108818.145479649,2162330653604.3345,33011568162.060684
bitcoin,2025-05-28 12:03:14.682,108890.91440583028,2163472131793.8865,33146847437.7843
bitcoin,2025-05-28 13:03:24.835,108944.85567190323,2165372627714.3645,33167059839.24724
bitcoin,2025-05-28 14:11:28.776,108356.0781198605,2154973566199.7856,30841871459.95233
bitcoin,2025-05-28 15:03:14.505,107787.16425066988,2142724639442.26,30599804092.6822
bitcoin,2025-05-28 16:03:42.908,107269.42741890978,2131635931785.1409,30646367569.149014
bitcoin,2025-05-28 17:03:25.866,107339.2017546359,2132897201075.2705,30243332691.495663
bitcoin,2025-05-28 18:03:51.275,107616.72362853689,2138267097468.456,30457991868.442783
bitcoin,2025-05-28 19:03:50.802,107578.37480926694,2138354174715.539,30120367706.77772
bitcoin,2025-05-28 20:02:12.162,107224.6662536516,2131323464408.6887,30116414518.38446
bitcoin,2025-05-28 21:03:28.177,107340.43334503609,2132751711456.7068,30655584924.71261
bitcoin,2025-05-28 22:03:44.412,107515.8446882785,2136293894082.8303,30228466836.25574
bitcoin,2025-05-28 23:03:20.192,107434.48106938628,2134840711814.694,29412623148.953465
bitcoin,2025-05-29 00:03:45.349,107830.09824019176,2142832545947.9155,29799131239.98503
bitcoin,2025-05-29 01:03:12.883,108002.59474462224,2144825751338.1584,30094448342.80705
bitcoin,2025-05-29 02:04:02.802,108122.51204066364,2147343789573.8176,29024954609.562286
bitcoin,2025-05-29 03:03:02.729,108327.44866251864,2152559981742.161,29150924402.468044
bitcoin,2025-05-29 04:03:28.273,108079.3423924312,2147616849638.2224,30983554783.88401
bitcoin,2025-05-29 05:03:48.956,107626.97085100684,2138625427853.578,32231589300.690464
bitcoin,2025-05-29 06:02:46.218,107725.52095743766,2140755995829.04,32342423085.439964
bitcoin,2025-05-29 07:03:26.701,107920.1974740728,2144355422485.4097,32198584484.323826
