UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,DATE
DAY,1583452800,267,cadli,BTC-USD,812193.9792982171,821348.8061737566,787938.7554901574,804498.717735516,2020-03-06
DAY,1583539200,267,cadli,BTC-USD,804498.717735516,819251.664705879,775407.8835347866,797162.9243413744,2020-03-07
DAY,1583625600,267,cadli,BTC-USD,797162.9243413744,797162.9243413744,703011.7095111341,708981.5279894271,2020-03-08
DAY,1583712000,267,cadli,BTC-USD,708981.5279894271,740113.7915461957,668805.735471511,693737.0177579814,2020-03-09
DAY,1583798400,267,cadli,BTC-USD,693737.0177579814,738908.3527327295,677397.9372759091,712911.7615322678,2020-03-10
DAY,1583884800,267,cadli,BTC-USD,712911.7615322678,721859.7877957072,665167.1243074334,717854.1001799708,2020-03-11
DAY,1583971200,267,cadli,BTC-USD,717854.1001799708,719728.018424562,403775.9591008512,422926.9991204754,2020-03-12
DAY,1584057600,267,cadli,BTC-USD,422926.9991204754,531366.3231277451,344492.2642211351,492403.393306291,2020-03-13
DAY,1584144000,267,cadli,BTC-USD,492403.393306291,514424.6048049711,444152.61643284204,454067.34981559793,2020-03-14
DAY,1584230400,267,cadli,BTC-USD,454067.34981559793,531549.9033421222,449761.0505127392,470582.25129598076,2020-03-15
DAY,1584316800,267,cadli,BTC-USD,470582.25129598076,502930.4049776463,393778.169853441,446632.5345155157,2020-03-16
DAY,1584403200,267,cadli,BTC-USD,446632.5345155157,507743.1377134489,434336.80822052574,480606.1593342512,2020-03-17
DAY,1584489600,267,cadli,BTC-USD,480606.1593342512,500713.84496928507,440367.6951251119,478620.3419733354,2020-03-18
DAY,1584576000,267,cadli,BTC-USD,478620.3419733354,569541.4325965497,460502.1716230755,558346.012084149,2020-03-19
DAY,1584662400,267,cadli,BTC-USD,558346.012084149,620850.3569155766,508316.84208867693,543724.9905758272,2020-03-20
DAY,1584748800,267,cadli,BTC-USD,543724.9905758272,577818.9827329856,517286.5348245792,557253.6497917898,2020-03-21
DAY,1584835200,267,cadli,BTC-USD,557253.6497917898,575478.210335238,505726.9015083945,516094.3089822263,2020-03-22
DAY,1584921600,267,cadli,BTC-USD,516094.3089822263,587789.7102837131,503488.21943203674,569194.0437645979,2020-03-23
DAY,1585008000,267,cadli,BTC-USD,569194.0437645979,615628.013239743,561585.7343640565,591455.4130412879,2020-03-24
DAY,1585094400,267,cadli,BTC-USD,591455.4130412879,622644.0294966628,570108.4167276691,588590.5856499355,2020-03-25
DAY,1585180800,267,cadli,BTC-USD,588590.5856499355,611725.4182356691,575629.0646289478,594458.1291275009,2020-03-26
DAY,1585267200,267,cadli,BTC-USD,594458.1291275009,615909.7211586417,555383.7553940655,577763.8357286997,2020-03-27
DAY,1585353600,267,cadli,BTC-USD,577763.8357286997,577763.8357286997,530592.5476144681,546936.8215873323,2020-03-28
DAY,1585440000,267,cadli,BTC-USD,546936.8215873323,566390.5476412901,515071.7637125284,516069.59700166143,2020-03-29
DAY,1585526400,267,cadli,BTC-USD,516069.59700166143,591998.5742535733,515083.14122614724,577448.0713844214,2020-03-30
DAY,1585612800,267,cadli,BTC-USD,577448.0713844214,589824.0184873528,556511.3071518725,561419.3975449651,2020-03-31
DAY,1585699200,267,cadli,BTC-USD,561419.3975449651,589121.9414557971,540338.3537582422,579981.1396597392,2020-04-01
DAY,1585785600,267,cadli,BTC-USD,579981.1396597392,626086.2354471033,575079.6877988338,607224.7639115638,2020-04-02
DAY,1585872000,267,cadli,BTC-USD,607224.7639115638,623779.3025673232,579953.4167331068,595720.5781151522,2020-04-03
DAY,1585958400,267,cadli,BTC-USD,595720.5781151522,612235.6230349311,584239.6202828767,608758.0806712619,2020-04-04
DAY,1586044800,267,cadli,BTC-USD,608758.0806712619,610288.11300362,586473.9560915281,603219.6207809962,2020-04-05
DAY,1586131200,267,cadli,BTC-USD,603219.6207809962,644684.4942738303,594878.1484134635,640399.7788405024,2020-04-06
DAY,1586217600,267,cadli,BTC-USD,640399.7788405024,655969.7053982471,618665.2045367792,627928.3329826879,2020-04-07
DAY,1586304000,267,cadli,BTC-USD,627928.3329826879,653835.9753077049,625891.7328835069,648687.478646695,2020-04-08
DAY,1586390400,267,cadli,BTC-USD,648687.478646695,651843.3149143412,625619.7926332986,637222.2666702277,2020-04-09
DAY,1586476800,267,cadli,BTC-USD,637222.2666702277,645955.2227444296,592246.5375202836,601895.8476166679,2020-04-10
DAY,1586563200,267,cadli,BTC-USD,601895.8476166679,618485.5853172768,589874.580456931,601216.2020389551,2020-04-11
DAY,1586649600,267,cadli,BTC-USD,601216.2020389551,643045.845012887,596202.4788229022,606319.8718159456,2020-04-12
DAY,1586736000,267,cadli,BTC-USD,606319.8718159456,619050.376364611,581159.3901991954,599650.5313486594,2020-04-13
DAY,1586822400,267,cadli,BTC-USD,599650.5313486594,627800.9966802853,593285.3446943597,620106.878850213,2020-04-14
DAY,1586908800,267,cadli,BTC-USD,620106.878850213,624115.7762217615,580251.399654253,599312.6988000834,2020-04-15
DAY,1586995200,267,cadli,BTC-USD,599312.6988000834,634626.5688466368,569842.4250697638,620863.072437443,2020-04-16
DAY,1587081600,267,cadli,BTC-USD,620863.072437443,633266.3900225033,612689.1938782855,615944.131804497,2020-04-17
DAY,1587168000,267,cadli,BTC-USD,615944.131804497,639920.6161608421,615944.131804497,636374.4991541051,2020-04-18
DAY,1587254400,267,cadli,BTC-USD,636374.4991541051,637388.6743569445,615310.2502769069,629210.7934508277,2020-04-19
DAY,1587340800,267,cadli,BTC-USD,629210.7934508277,635836.3022957396,593741.685106589,608248.8229398263,2020-04-20
DAY,1587427200,267,cadli,BTC-USD,608248.8229398263,615357.7896645522,592337.0831909842,603294.7668413313,2020-04-21
DAY,1587513600,267,cadli,BTC-USD,603294.7668413313,631483.9683032265,594836.462770755,630189.3642772613,2020-04-22
DAY,1587600000,267,cadli,BTC-USD,630189.3642772613,667991.8816797031,612628.6808767584,655412.2630350272,2020-04-23
DAY,1587686400,267,cadli,BTC-USD,655412.2630350272,664612.9534642819,646553.9300871826,657551.051881753,2020-04-24
DAY,1587772800,267,cadli,BTC-USD,657551.051881753,671036.1290872054,646439.3690353731,661224.8314541607,2020-04-25
DAY,1587859200,267,cadli,BTC-USD,661224.8314541607,672382.2714759252,650312.6168615135,671218.0195947479,2020-04-26
DAY,1587945600,267,cadli,BTC-USD,671218.0195947479,683233.6415605899,663125.9227250662,673038.3655668321,2020-04-27
DAY,1588032000,267,cadli,BTC-USD,673038.3655668321,682404.6314301917,661866.9142704386,679948.8808856629,2020-04-28
DAY,1588118400,267,cadli,BTC-USD,679948.8808856629,777575.6034408925,673631.0447895227,769082.9922962004,2020-04-29
DAY,1588204800,267,cadli,BTC-USD,769082.9922962004,824939.1838986247,738172.1347533411,755927.9517131883,2020-04-30
DAY,1588291200,267,cadli,BTC-USD,755927.9517131883,790291.7366608944,754138.0390868871,773703.7570092251,2020-05-01
DAY,1588377600,267,cadli,BTC-USD,773703.7570092251,787703.8404624744,765782.8346337621,785304.1790540217,2020-05-02
DAY,1588464000,267,cadli,BTC-USD,785304.1790540217,800120.5462990324,763874.9355218798,781173.4662772864,2020-05-03
DAY,1588550400,267,cadli,BTC-USD,781173.4662772864,784830.5819755521,748523.8777912578,778895.1861626683,2020-05-04
DAY,1588636800,267,cadli,BTC-USD,778895.1861626683,792863.2660866709,767338.9060102745,788442.0055982806,2020-05-05
DAY,1588723200,267,cadli,BTC-USD,788442.0055982806,825869.0576545646,779294.7557922953,800968.8604398228,2020-05-06
DAY,1588809600,267,cadli,BTC-USD,800968.8604398228,875169.6595461555,793312.7500442422,871784.7542014897,2020-05-07
DAY,1588896000,267,cadli,BTC-USD,871784.7542014897,874550.692853534,848408.6141065117,856958.6012082628,2020-05-08
DAY,1588982400,267,cadli,BTC-USD,856958.6012082628,866656.0688051163,834293.8688490897,834836.5645523627,2020-05-09
DAY,1589068800,267,cadli,BTC-USD,834836.5645523627,834836.5645523627,718996.1467430006,764174.739851642,2020-05-10
