UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,DATE
DAY,1583452800,267,cadli,ETH-USD,20531.26736127496,22029.4037788083,19948.161924233347,21583.30373680102,2020-03-06
DAY,1583539200,267,cadli,ETH-USD,21583.30373680102,22440.934735096573,20720.652248982482,21349.67058750214,2020-03-07
DAY,1583625600,267,cadli,ETH-USD,21349.67058750214,21349.67058750214,17321.314911672656,17578.46975018202,2020-03-08
DAY,1583712000,267,cadli,ETH-USD,17578.46975018202,19256.905201927926,16655.919866803197,17749.107360395643,2020-03-09
DAY,1583798400,267,cadli,ETH-USD,17749.107360395643,18792.596910750428,17153.03387862071,18219.44025449211,2020-03-10
DAY,1583884800,267,cadli,ETH-USD,18219.44025449211,18507.833647934658,15932.237187822795,17731.0218611031,2020-03-11
DAY,1583971200,267,cadli,ETH-USD,17731.0218611031,17746.54225364921,9149.704413969588,9500.533607114707,2020-03-12
DAY,1584057600,267,cadli,ETH-USD,9500.533607114707,12602.66484490778,7887.947422321295,11814.579466369902,2020-03-13
DAY,1584144000,267,cadli,ETH-USD,11814.579466369902,12632.003518828833,10615.845927891478,10744.911515264945,2020-03-14
DAY,1584230400,267,cadli,ETH-USD,10744.911515264945,12203.425733302285,10554.445830001752,10859.039626260552,2020-03-15
DAY,1584316800,267,cadli,ETH-USD,10859.039626260552,11688.301200986652,8909.216565037274,9864.108211052075,2020-03-16
DAY,1584403200,267,cadli,ETH-USD,9864.108211052075,11212.586144835248,9631.116960602196,10460.691620388016,2020-03-17
DAY,1584489600,267,cadli,ETH-USD,10460.691620388016,11034.558375695591,9667.22998300366,10509.487590399058,2020-03-18
DAY,1584576000,267,cadli,ETH-USD,10509.487590399058,12712.604590834817,10129.585411799935,12489.713834182572,2020-03-19
DAY,1584662400,267,cadli,ETH-USD,12489.713834182572,13766.429065725315,10458.485394117648,11678.758410759874,2020-03-20
DAY,1584748800,267,cadli,ETH-USD,11678.758410759874,12350.24873368596,11077.328937609735,11992.221538757964,2020-03-21
DAY,1584835200,267,cadli,ETH-USD,11992.221538757964,12365.257503089048,10634.559260396216,10856.848025312058,2020-03-22
DAY,1584921600,267,cadli,ETH-USD,10856.848025312058,12346.9415471117,10571.68783085182,11975.772941768973,2020-03-23
DAY,1585008000,267,cadli,ETH-USD,11975.772941768973,12905.927611504412,11668.816141782127,12156.790305820912,2020-03-24
DAY,1585094400,267,cadli,ETH-USD,12156.790305820912,12829.774435740279,11685.847694263633,12014.522410723355,2020-03-25
DAY,1585180800,267,cadli,ETH-USD,12014.522410723355,12567.827618257414,11718.926615821865,12221.419139349135,2020-03-26
DAY,1585267200,267,cadli,ETH-USD,12221.419139349135,12671.081669110545,11479.67251424285,11965.959696517617,2020-03-27
DAY,1585353600,267,cadli,ETH-USD,11965.959696517617,12039.568877616493,10996.751502901136,11476.048855147948,2020-03-28
DAY,1585440000,267,cadli,ETH-USD,11476.048855147948,11945.859357634192,10895.28328314968,10934.01209179739,2020-03-29
DAY,1585526400,267,cadli,ETH-USD,10934.01209179739,12218.713062293964,10909.146657940757,11971.674745309287,2020-03-30
DAY,1585612800,267,cadli,ETH-USD,11971.674745309287,12245.583775677795,11426.510723818465,11631.606624875098,2020-03-31
DAY,1585699200,267,cadli,ETH-USD,11631.606624875098,12089.171629323138,11302.927616346404,11850.548395502725,2020-04-01
DAY,1585785600,267,cadli,ETH-USD,11850.548395502725,13013.242622981834,11850.548395502725,12672.521925407178,2020-04-02
DAY,1585872000,267,cadli,ETH-USD,12672.521925407178,13059.110357042646,12094.588464348679,12517.867054436694,2020-04-03
DAY,1585958400,267,cadli,ETH-USD,12517.867054436694,12872.534940002823,12192.50149512612,12832.36213726519,2020-04-04
DAY,1586044800,267,cadli,ETH-USD,12832.36213726519,12928.71056729279,12348.641480785733,12753.991888509612,2020-04-05
DAY,1586131200,267,cadli,ETH-USD,12753.991888509612,15013.450785616038,12557.074599891674,14949.533855888121,2020-04-06
DAY,1586217600,267,cadli,ETH-USD,14949.533855888121,15436.901028944505,14220.30851236607,14432.216976423637,2020-04-07
DAY,1586304000,267,cadli,ETH-USD,14432.216976423637,15413.418684612878,14374.831427801702,15297.785661394177,2020-04-08
DAY,1586390400,267,cadli,ETH-USD,15297.785661394177,15382.71707657258,14547.302785200976,14849.59057574772,2020-04-09
DAY,1586476800,267,cadli,ETH-USD,14849.59057574772,15103.35753295919,13381.496927513732,13826.328591632837,2020-04-10
DAY,1586563200,267,cadli,ETH-USD,13826.328591632837,14411.432957826935,13503.629388640937,13842.574587658815,2020-04-11
DAY,1586649600,267,cadli,ETH-USD,13842.574587658815,14818.566006279241,13623.80253241821,13926.106136503284,2020-04-12
DAY,1586736000,267,cadli,ETH-USD,13926.106136503284,14322.357917627114,13205.101052171216,13706.266960853249,2020-04-13
DAY,1586822400,267,cadli,ETH-USD,13706.266960853249,14606.92116101324,13596.211996505674,14389.949280724566,2020-04-14
DAY,1586908800,267,cadli,ETH-USD,14389.949280724566,14560.847101017043,13371.61327460631,13896.910526085818,2020-04-15
DAY,1586995200,267,cadli,ETH-USD,13896.910526085818,15524.434331659217,13048.321410956669,15102.558106250786,2020-04-16
DAY,1587081600,267,cadli,ETH-USD,15102.558106250786,15459.342401609892,14719.849584610181,14939.269434053804,2020-04-17
DAY,1587168000,267,cadli,ETH-USD,14939.269434053804,16586.790964937274,14939.269434053804,16475.605112328314,2020-04-18
DAY,1587254400,267,cadli,ETH-USD,16475.605112328314,16565.47186392478,15493.822045974737,15926.84326832825,2020-04-19
DAY,1587340800,267,cadli,ETH-USD,15926.84326832825,16485.699499018658,14678.096108032252,15190.50497509108,2020-04-20
DAY,1587427200,267,cadli,ETH-USD,15190.50497509108,15491.180516271694,14741.934178878735,15053.047277034411,2020-04-21
DAY,1587513600,267,cadli,ETH-USD,15053.047277034411,16296.325489232304,14808.351862753996,16208.757524613704,2020-04-22
DAY,1587600000,267,cadli,ETH-USD,16208.757524613704,16795.97755233305,15621.390018841286,16250.62102360216,2020-04-23
DAY,1587686400,267,cadli,ETH-USD,16250.62102360216,16589.294831907886,15996.200396942906,16445.83960909744,2020-04-24
DAY,1587772800,267,cadli,ETH-USD,16445.83960909744,17189.888925956377,16122.111600263474,17008.532004940313,2020-04-25
DAY,1587859200,267,cadli,ETH-USD,17008.532004940313,17388.082500222285,16675.210578716313,17238.786073143077,2020-04-26
DAY,1587945600,267,cadli,ETH-USD,17238.786073143077,17401.923471741644,16584.103853127937,16982.213838348824,2020-04-27
DAY,1588032000,267,cadli,ETH-USD,16982.213838348824,17325.023704989962,16615.81506061451,17275.48668951785,2020-04-28
DAY,1588118400,267,cadli,ETH-USD,17275.48668951785,19046.297948099626,17134.971261094313,18876.806755508045,2020-04-29
DAY,1588204800,267,cadli,ETH-USD,18876.806755508045,19843.28830041968,17746.668923048757,18075.329798105406,2020-04-30
DAY,1588291200,267,cadli,ETH-USD,18075.329798105406,18964.862441309957,18042.860715730658,18598.524926244747,2020-05-01
DAY,1588377600,267,cadli,ETH-USD,18598.524926244747,18834.045117202688,18385.552082833277,18750.57723590645,2020-05-02
DAY,1588464000,267,cadli,ETH-USD,18750.57723590645,19093.10134845297,17997.950491925505,18441.544030276735,2020-05-03
DAY,1588550400,267,cadli,ETH-USD,18441.544030276735,18480.839098614895,17129.047995929308,18137.646356263987,2020-05-04
DAY,1588636800,267,cadli,ETH-USD,18137.646356263987,18452.26030406611,17631.22694240202,17988.599387353835,2020-05-05
DAY,1588723200,267,cadli,ETH-USD,17988.599387353835,18596.97789123806,17406.585901328028,17428.752939361217,2020-05-06
DAY,1588809600,267,cadli,ETH-USD,17428.752939361217,18691.494610593818,17311.9929429912,18489.681446235878,2020-05-07
DAY,1588896000,267,cadli,ETH-USD,18489.681446235878,18889.739426731943,18112.498904455602,18473.800174439057,2020-05-08
DAY,1588982400,267,cadli,ETH-USD,18473.800174439057,18742.03622142399,18261.365919730233,18377.18531046674,2020-05-09
DAY,1589068800,267,cadli,ETH-USD,18377.18531046674,18377.18531046674,15825.367990056155,16418.06808940654,2020-05-10
DAY,1589155200,267,cadli,ETH-USD,16418.06808940654,16909.991633315607,15545.429744018706,16402.292046514343,2020-05-11
DAY,1589241600,267,cadli,ETH-USD,16402.292046514343,16872.941771908678,16281.629079970608,16732.11240628823,2020-05-12
DAY,1589328000,267,cadli,ETH-USD,16732.11240628823,17567.455656117036,16495.326599941418,17439.860026042268,2020-05-13
DAY,1589414400,267,cadli,ETH-USD,17439.860026042268,17953.49253213746,17163.702727438776,17751.768364913747,2020-05-14
DAY,1589500800,267,cadli,ETH-USD,17751.768364913747,17837.533510655514,16856.468876351442,17032.562681354248,2020-05-15
DAY,1589587200,267,cadli,ETH-USD,17032.562681354248,17761.424766026314,16891.87084291668,17539.448121788522,2020-05-16
DAY,1589673600,267,cadli,ETH-USD,17539.448121788522,18317.694429088962,17449.60469818833,18086.50099962753,2020-05-17
DAY,1589760000,267,cadli,ETH-USD,18086.50099962753,18931.252006633513,18077.038815971515,18732.273636326547,2020-05-18
DAY,1589846400,267,cadli,ETH-USD,18732.273636326547,18838.02051396691,18325.670115683686,18753.532650046247,2020-05-19
DAY,1589932800,267,cadli,ETH-USD,18753.532650046247,18802.997244676382,18081.677969168846,18359.069790738064,2020-05-20
DAY,1590019200,267,cadli,ETH-USD,18359.069790738064,18491.685172114925,16794.51786922663,17386.270087201025,2020-05-21
DAY,1590105600,267,cadli,ETH-USD,17386.270087201025,18308.551522119324,17175.77379541068,18132.89925288553,2020-05-22
DAY,1590192000,267,cadli,ETH-USD,18132.89925288553,18457.9029256571,17914.236484422843,18058.92118428883,2020-05-23
DAY,1590278400,267,cadli,ETH-USD,18058.92118428883,18457.83669352066,17511.664640085986,17511.664640085986,2020-05-24
DAY,1590364800,267,cadli,ETH-USD,17511.664640085986,18117.491861445895,17375.463010773172,18015.18600521987,2020-05-25
DAY,1590451200,267,cadli,ETH-USD,18015.18600521987,18101.848392569773,17268.39262326313,17550.781435151617,2020-05-26
DAY,1590537600,267,cadli,ETH-USD,17550.781435151617,18289.79796638737,17547.391753727552,18289.79796638737,2020-05-27
DAY,1590624000,267,cadli,ETH-USD,18289.79796638737,19241.56956518606,17895.96055562082,19224.21942999599,2020-05-28
DAY,1590710400,267,cadli,ETH-USD,19224.21942999599,19622.34353694475,19015.850245197526,19276.381886220883,2020-05-29
DAY,1590796800,267,cadli,ETH-USD,19276.381886220883,21531.160920144106,19115.966458128056,21284.90670402313,2020-05-30
DAY,1590883200,267,cadli,ETH-USD,21284.90670402313,21435.98154531961,20122.61973852849,20245.382563861123,2020-05-31
DAY,1590969600,267,cadli,ETH-USD,20245.382563861123,21851.051825601506,20164.339475795194,21658.25767476276,2020-06-01
DAY,1591056000,267,cadli,ETH-USD,21658.25767476276,22101.41101511167,19923.13632848555,20811.77645214943,2020-06-02
DAY,1591142400,267,cadli,ETH-USD,20811.77645214943,21405.70345030323,20447.9319049318,21378.148057112365,2020-06-03
DAY,1591228800,267,cadli,ETH-USD,21378.148057112365,21541.35327089596,20678.13751580179,21280.11101123499,2020-06-04
DAY,1591315200,267,cadli,ETH-USD,21280.11101123499,21579.81098821912,20917.828339038682,20995.608599135718,2020-06-05
DAY,1591401600,267,cadli,ETH-USD,20995.608599135718,21367.766831529887,20837.46309982501,21176.532045701115,2020-06-06
DAY,1591488000,267,cadli,ETH-USD,21176.532045701115,21426.34563481095,20573.247644534007,21390.315859015303,2020-06-07
DAY,1591574400,267,cadli,ETH-USD,21390.315859015303,21618.419620390316,21099.08519235364,21532.402109027975,2020-06-08
DAY,1591660800,267,cadli,ETH-USD,21532.402109027975,21804.64767706853,21010.482830387675,21327.158698530373,2020-06-09
DAY,1591747200,267,cadli,ETH-USD,21327.158698530373,21844.452097707155,21185.503575681745,21659.317119150426,2020-06-10
DAY,1591833600,267,cadli,ETH-USD,21659.317119150426,21844.197949188318,19887.496852940938,20140.151732386545,2020-06-11
DAY,1591920000,267,cadli,ETH-USD,20140.151732386545,20931.295206267212,19981.003390538026,20760.83213020994,2020-06-12
DAY,1592006400,267,cadli,ETH-USD,20760.83213020994,20927.104367169202,20542.612502034684,20817.466603326888,2020-06-13
DAY,1592092800,267,cadli,ETH-USD,20817.466603326888,20890.757454678595,20125.929902064086,20257.757118956477,2020-06-14
DAY,1592179200,267,cadli,ETH-USD,20257.757118956477,20563.845924067587,19119.343941637464,20360.811447334563,2020-06-15
DAY,1592265600,267,cadli,ETH-USD,20360.811447334563,20794.87008427569,20013.511706054345,20580.636341503407,2020-06-16
DAY,1592352000,267,cadli,ETH-USD,20580.636341503407,20693.76300405266,19949.232394999635,20428.899066828402,2020-06-17
DAY,1592438400,267,cadli,ETH-USD,20428.899066828402,20534.065733894957,19905.42965033382,20201.08585147694,2020-06-18
DAY,1592524800,267,cadli,ETH-USD,20201.08585147694,20328.566903449428,19809.664039708256,19990.939710305312,2020-06-19
DAY,1592611200,267,cadli,ETH-USD,19990.939710305312,20283.713450908203,19761.9976417531,19990.41066140742,2020-06-20
DAY,1592697600,267,cadli,ETH-USD,19990.41066140742,20437.825557025517,19878.8788865209,19913.273629362655,2020-06-21
DAY,1592784000,267,cadli,ETH-USD,19913.273629362655,21536.94603307701,19882.144750007195,21265.514990066356,2020-06-22
DAY,1592870400,267,cadli,ETH-USD,21265.514990066356,21449.875857457406,21067.021474911417,21259.285277449944,2020-06-23
DAY,1592956800,267,cadli,ETH-USD,21259.285277449944,21760.223469697645,20218.439589240792,20505.71331336472,2020-06-24
