UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,DATE
DAY,1583452800,267,cadli,LINK-USD,413.06755312831444,415.8358561992275,399.130258213265,410.26965081083057,2020-03-06
DAY,1583539200,267,cadli,LINK-USD,410.26965081083057,410.7591752757899,379.65737378436575,381.3683455466134,2020-03-07
DAY,1583625600,267,cadli,LINK-USD,381.3683455466134,389.0059704936984,339.0017563658585,355.5256638263491,2020-03-08
DAY,1583712000,267,cadli,LINK-USD,355.5256638263491,383.0578730643758,317.86878162718915,361.5903066455225,2020-03-09
DAY,1583798400,267,cadli,LINK-USD,361.5903066455225,368.88623678009526,344.06125263777346,357.93436336667577,2020-03-10
DAY,1583884800,267,cadli,LINK-USD,357.93436336667577,360.03849070137045,311.6378259353317,334.51684137677665,2020-03-11
DAY,1583971200,267,cadli,LINK-USD,334.51684137677665,337.11725812653225,163.91544756143503,178.56687074127788,2020-03-12
DAY,1584057600,267,cadli,LINK-USD,178.56687074127788,242.05816852261646,126.19715333149874,215.01350946299013,2020-03-13
DAY,1584144000,267,cadli,LINK-USD,215.01350946299013,220.1261998393593,183.07608510452167,188.25164982306853,2020-03-14
DAY,1584230400,267,cadli,LINK-USD,188.25164982306853,208.71940674515943,179.93440809153844,183.5941713055843,2020-03-15
DAY,1584316800,267,cadli,LINK-USD,183.5941713055843,183.5941713055843,137.6299369494877,156.47233209076975,2020-03-16
DAY,1584403200,267,cadli,LINK-USD,156.47233209076975,181.23917101494087,153.1016207695027,164.57530806489018,2020-03-17
DAY,1584489600,267,cadli,LINK-USD,164.57530806489018,171.1128162208122,155.00810389173532,171.1128162208122,2020-03-18
DAY,1584576000,267,cadli,LINK-USD,171.1128162208122,206.95732913696068,165.21049771250497,197.49964543719176,2020-03-19
DAY,1584662400,267,cadli,LINK-USD,197.49964543719176,228.87287602895884,177.72868384794054,198.5039984573814,2020-03-20
DAY,1584748800,267,cadli,LINK-USD,198.5039984573814,207.97679296918753,185.2160174401232,199.1631243774755,2020-03-21
DAY,1584835200,267,cadli,LINK-USD,199.1631243774755,203.74414187079893,170.64530260584957,174.2490888811831,2020-03-22
DAY,1584921600,267,cadli,LINK-USD,174.2490888811831,200.65521545833047,169.95452541940145,196.91039592858692,2020-03-23
