UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,DATE
DAY,1583452800,267,cadli,LTC-USD,5435.8469601023135,5583.965500931083,5368.570874011608,5539.005086691266,2020-03-06
DAY,1583539200,267,cadli,LTC-USD,5539.005086691266,5587.9998854680325,5275.227429838095,5300.402504972227,2020-03-07
DAY,1583625600,267,cadli,LTC-USD,5300.402504972227,5300.402504972227,4456.566765633475,4471.949608052417,2020-03-08
DAY,1583712000,267,cadli,LTC-USD,4471.949608052417,4576.868767568826,4095.279149033046,4418.084661573158,2020-03-09
DAY,1583798400,267,cadli,LTC-USD,4418.084661573158,4500.995572863983,4305.445664446416,4399.379115349987,2020-03-10
DAY,1583884800,267,cadli,LTC-USD,4399.379115349987,4441.973038183392,3997.084579261933,4251.290563897207,2020-03-11
DAY,1583971200,267,cadli,LTC-USD,4251.290563897207,4268.776479751331,2555.5691254408043,2642.3397305582926,2020-03-12
DAY,1584057600,267,cadli,LTC-USD,2642.3397305582926,3519.363449367933,2185.170537501804,3308.898689103293,2020-03-13
DAY,1584144000,267,cadli,LTC-USD,3308.898689103293,3308.898689103293,2967.4398623364673,3018.857473492486,2020-03-14
DAY,1584230400,267,cadli,LTC-USD,3018.857473492486,3384.2031374884687,2986.8301394807677,3182.313599352227,2020-03-15
DAY,1584316800,267,cadli,LTC-USD,3182.313599352227,3183.5814984658036,2589.8588231718277,2910.9725894457615,2020-03-16
DAY,1584403200,267,cadli,LTC-USD,2910.9725894457615,3144.759195976683,2856.013080634605,2994.312654010391,2020-03-17
DAY,1584489600,267,cadli,LTC-USD,2994.312654010391,3049.6708663116424,2835.6961732792256,3046.0915657331307,2020-03-18
DAY,1584576000,267,cadli,LTC-USD,3046.0915657331307,3557.5008481668215,2983.400405724683,3412.992009085414,2020-03-19
DAY,1584662400,267,cadli,LTC-USD,3412.992009085414,3814.8058734309875,3028.7606233669067,3332.59260740088,2020-03-20
DAY,1584748800,267,cadli,LTC-USD,3332.59260740088,3480.316040977556,3191.0891802024908,3358.0544652363856,2020-03-21
DAY,1584835200,267,cadli,LTC-USD,3358.0544652363856,3475.4889028828297,3072.6115860183413,3103.016628521137,2020-03-22
DAY,1584921600,267,cadli,LTC-USD,3103.016628521137,3490.807838805399,3056.3377644518155,3426.3185944077613,2020-03-23
DAY,1585008000,267,cadli,LTC-USD,3426.3185944077613,3590.171306102795,3362.106811954159,3564.8232668345936,2020-03-24
DAY,1585094400,267,cadli,LTC-USD,3564.8232668345936,3594.7903005737962,3352.2399888282566,3431.9809584939567,2020-03-25
DAY,1585180800,267,cadli,LTC-USD,3431.9809584939567,3547.3793669399374,3376.9905165218365,3545.697336927286,2020-03-26
DAY,1585267200,267,cadli,LTC-USD,3545.697336927286,3602.281992530508,3329.4560651581282,3337.869833623731,2020-03-27
DAY,1585353600,267,cadli,LTC-USD,3337.869833623731,3453.1266181885035,3211.3061381311754,3406.9060145600915,2020-03-28
DAY,1585440000,267,cadli,LTC-USD,3406.9060145600915,3428.7582231879915,3249.1972225898326,3253.8205922904403,2020-03-29
DAY,1585526400,267,cadli,LTC-USD,3253.8205922904403,3468.444282901133,3253.8205922904403,3415.84481713012,2020-03-30
DAY,1585612800,267,cadli,LTC-USD,3415.84481713012,3443.3518361086744,3365.5943549906915,3421.4084555968775,2020-03-31
DAY,1585699200,267,cadli,LTC-USD,3421.4084555968775,3453.9732357709636,3271.5643804423034,3440.1168170776414,2020-04-01
DAY,1585785600,267,cadli,LTC-USD,3440.1168170776414,3740.1842827832916,3377.0900957908766,3490.8524062524807,2020-04-02
DAY,1585872000,267,cadli,LTC-USD,3490.8524062524807,3609.2425666588415,3475.4054545346016,3544.7147362133423,2020-04-03
DAY,1585958400,267,cadli,LTC-USD,3544.7147362133423,3587.6463751516685,3505.6590965160376,3565.3448840889378,2020-04-04
DAY,1586044800,267,cadli,LTC-USD,3565.3448840889378,3591.2446269175202,3501.843612542896,3532.6181869116476,2020-04-05
DAY,1586131200,267,cadli,LTC-USD,3532.6181869116476,3943.1677914648285,3532.3896578803183,3943.1677914648285,2020-04-06
DAY,1586217600,267,cadli,LTC-USD,3943.1677914648285,4171.440409611096,3836.628885520633,3925.7833085168445,2020-04-07
