coin,timestamp,open,high,low,close,volume_from,volume_to
BNB,2025-05-24,657.2,671.57,659.83,668.02,8135.97,5434967.03
BNB,2025-05-25,668.02,678.24,668.64,669.73,8508.7,5698553.13
BNB,2025-05-26,669.73,676.69,669.46,674.39,4544.48,3064755.05
BNB,2025-05-27,674.39,691.67,670.2,687.09,12767.47,8772443.92
BNB,2025-05-28,687.09,691.35,674.1,687.14,19243.49,13223047.42
BNB,2025-05-29,687.14,678.4,664.04,674.91,12956.59,8744541.2
BNB,2025-05-30,674.91,665.96,654.09,655.24,13396.44,8777874.27
BNB,2025-05-31,655.24,663.2,652.63,658.38,10705.59,7048372.07
BNB,2025-06-01,658.38,665.71,658.1,661.38,7311.78,4835854.84
BNB,2025-06-02,661.38,670.93,658.33,666.38,10454.04,6966343.38
BNB,2025-06-03,666.38,669.28,657.89,661.79,10696.86,7079069.78
BNB,2025-06-04,661.79,668.7,656.65,663.57,9790.05,6496343.44
BNB,2025-06-05,663.57,650.83,631.53,633.86,14441.48,9153919.93
BNB,2025-06-06,633.86,653.39,642.01,643.48,5972.52,3843170.99
BNB,2025-06-07,643.48,653.71,649.7,651.29,2740.19,1784645.1
BNB,2025-06-08,651.29,653.29,649.38,652.24,3629.27,2367137.07
BNB,2025-06-09,652.3,701.69,663.88,665.76,11612.18,7730917.3
BNB,2025-06-10,665.76,701.22,669.4,673.62,14574.2,9817517.49
BNB,2025-06-11,673.62,674.84,645.18,667.63,11346.89,7575579.27
BNB,2025-06-12,667.71,657.72,649.16,655.18,9963.81,6528131.58
BNB,2025-06-13,655.18,666.86,654.66,655.62,13233.27,8675943.97
BNB,2025-06-14,655.62,654.83,643.43,646.07,5869.72,3792261.28
BNB,2025-06-15,646.07,652.87,646.11,648.43,3290.0,2133345.51
BNB,2025-06-16,648.43,658.55,646.48,651.18,6396.84,4165473.46
BNB,2025-06-17,651.18,649.87,636.59,648.3,11208.86,7266733.29
BNB,2025-06-18,648.3,653.28,641.0,645.1,11303.67,7291958.46
BNB,2025-06-19,645.61,649.88,638.53,644.83,3179.86,2050483.4
BNB,2025-06-20,644.74,645.09,629.69,641.89,9750.86,6258936.57
BNB,2025-06-21,641.89,636.49,625.56,629.54,11089.08,6981073.98
BNB,2025-06-22,629.54,625.18,614.58,616.19,9536.01,5876032.74
BNB,2025-06-23,616.19,654.15,638.02,640.98,6603.07,4232411.23
BNB,2025-06-24,640.98,648.37,641.68,643.91,4320.91,2782279.01
BNB,2025-06-25,643.91,659.65,643.43,646.44,7989.8,5164925.34
BNB,2025-06-26,646.44,645.82,639.72,642.72,2608.63,1676605.87
BNB,2025-06-27,642.81,652.41,634.96,646.11,2613.52,1688616.0
BNB,2025-06-28,646.17,649.23,644.62,648.91,1556.25,1009864.99
BNB,2025-06-29,648.91,657.29,650.46,655.12,2703.66,1771222.99
BNB,2025-06-30,655.12,658.02,644.63,657.06,9892.76,6500118.75
BNB,2025-07-01,657.06,649.25,642.59,646.5,7242.49,4682294.12
BNB,2025-07-02,646.5,668.78,657.78,660.07,13542.25,8938842.31
BNB,2025-07-03,660.07,665.84,658.27,663.75,5127.59,3403460.04
BNB,2025-07-04,663.75,657.02,651.41,653.89,2581.57,1688067.27
BNB,2025-07-05,653.89,657.15,653.8,656.39,1359.94,892657.42
BNB,2025-07-06,656.39,668.51,661.08,663.38,8712.1,5779412.48
BNB,2025-07-07,663.38,663.31,653.24,661.03,12243.33,8093233.67
BNB,2025-07-08,661.03,667.35,659.18,660.7,9110.17,6019120.5
BNB,2025-07-09,660.7,680.1,665.86,669.09,13916.68,9311451.59
BNB,2025-07-10,669.09,703.57,677.58,685.93,17868.77,12256725.16
BNB,2025-07-11,685.93,702.03,682.87,690.16,13409.88,9254948.17
BNB,2025-07-12,690.16,695.06,682.26,686.13,4615.42,3166785.15
BNB,2025-07-13,686.13,698.68,691.42,692.13,5330.37,3689318.07
BNB,2025-07-14,692.13,697.76,681.22,689.37,14991.41,10334578.49
BNB,2025-07-15,689.37,693.95,676.52,690.06,10024.51,6917520.55
BNB,2025-07-16,690.06,712.08,688.7,709.0,33214.15,23548743.0
BNB,2025-07-17,709.0,732.4,711.52,721.3,23638.7,17050658.81
BNB,2025-07-18,721.3,758.67,713.23,730.34,37919.5,27694294.21
BNB,2025-07-19,730.34,740.14,719.86,733.54,22170.54,16262943.61
BNB,2025-07-20,733.54,760.05,729.2,757.12,24632.88,18650083.56
BNB,2025-07-21,757.12,770.77,747.4,766.66,32321.91,24779907.25
