coin,timestamp,open,high,low,close,volume_from,volume_to
ADA,2025-05-24,0.7474,0.7668,0.7413,0.747,27922791.59,21083669.26
ADA,2025-05-25,0.747,0.7606,0.7284,0.7602,38008597.62,28255662.97
ADA,2025-05-26,0.7602,0.7773,0.7515,0.7603,32189673.92,24565504.29
ADA,2025-05-27,0.7603,0.7756,0.7438,0.7586,44700209.32,34178002.1
ADA,2025-05-28,0.7586,0.7611,0.7324,0.7478,40443330.65,30286910.6
ADA,2025-05-29,0.7478,0.7652,0.7202,0.7222,48849896.27,36250767.85
ADA,2025-05-30,0.7222,0.7279,0.6828,0.6893,76933772.02,54085295.33
ADA,2025-05-31,0.6893,0.6953,0.6569,0.6862,54746542.46,37004631.25
ADA,2025-06-01,0.6862,0.6881,0.6552,0.6856,50962447.21,34293930.03
ADA,2025-06-02,0.6856,0.6922,0.6642,0.69,38262783.32,25900764.83
ADA,2025-06-03,0.69,0.7075,0.6746,0.6842,40324902.56,27887815.81
ADA,2025-06-04,0.6842,0.7028,0.6624,0.6657,35467952.85,24325777.57
ADA,2025-06-05,0.6657,0.69,0.6193,0.6261,79615916.9,51844923.28
ADA,2025-06-06,0.6261,0.6726,0.6217,0.6559,51416877.82,33462159.0
ADA,2025-06-07,0.6559,0.6711,0.6502,0.6649,24473171.19,16255895.25
ADA,2025-06-08,0.6649,0.6797,0.6523,0.6702,36499782.59,24416002.18
ADA,2025-06-09,0.6702,0.708,0.657,0.7051,45105565.87,30852276.49
ADA,2025-06-10,0.7051,0.7204,0.6867,0.7167,53781988.87,37896859.44
ADA,2025-06-11,0.7167,0.7314,0.6912,0.6982,54519224.32,39010041.57
ADA,2025-06-12,0.6982,0.7001,0.6573,0.6618,44974925.05,30528242.33
ADA,2025-06-13,0.6618,0.6619,0.618,0.6424,79313468.49,50300706.59
ADA,2025-06-14,0.6424,0.6429,0.6136,0.6251,25405964.25,15966431.15
ADA,2025-06-15,0.6251,0.636,0.6211,0.6334,19303812.32,12147169.16
ADA,2025-06-16,0.6334,0.6577,0.625,0.6303,43492013.94,28103540.68
ADA,2025-06-17,0.6303,0.6425,0.6,0.609,50008112.07,30968307.86
ADA,2025-06-18,0.609,0.6216,0.5885,0.6042,50558765.91,30360939.99
ADA,2025-06-19,0.6042,0.6116,0.5901,0.6021,35961001.14,21594924.54
ADA,2025-06-20,0.6021,0.6069,0.5615,0.5776,46443335.97,27141822.73
ADA,2025-06-21,0.5776,0.5883,0.5447,0.5565,41885295.1,23751658.83
ADA,2025-06-22,0.5565,0.5641,0.5102,0.542,92956946.81,49631202.5
ADA,2025-06-23,0.542,0.5867,0.5291,0.5827,84105134.38,46680245.52
ADA,2025-06-24,0.5827,0.5939,0.5768,0.5877,47284368.47,27649772.77
ADA,2025-06-25,0.5877,0.5909,0.5635,0.5673,47872935.13,27635158.17
ADA,2025-06-26,0.5673,0.5818,0.5502,0.5546,40164106.17,22593849.82
ADA,2025-06-27,0.5546,0.563,0.5454,0.5589,33981228.26,18851448.72
ADA,2025-06-28,0.5589,0.5688,0.5557,0.5658,21296183.06,11966558.04
ADA,2025-06-29,0.5658,0.5856,0.5553,0.5775,39282544.84,22332617.53
ADA,2025-06-30,0.5775,0.5905,0.5564,0.5725,66196725.85,37840311.63
ADA,2025-07-01,0.5725,0.5765,0.5369,0.5422,51799321.18,28760855.13
ADA,2025-07-02,0.5422,0.5997,0.539,0.5841,75871883.99,43872104.0
ADA,2025-07-03,0.5841,0.6113,0.5829,0.5994,58858125.89,35182828.99
ADA,2025-07-04,0.5994,0.6036,0.5632,0.5726,57439150.09,33089784.21
ADA,2025-07-05,0.5726,0.5834,0.5692,0.5756,32221824.35,18537931.51
ADA,2025-07-06,0.5756,0.5929,0.5711,0.5859,29156419.3,16968569.25
ADA,2025-07-07,0.5859,0.5946,0.574,0.5805,82855383.32,48546955.06
ADA,2025-07-08,0.5805,0.592,0.5723,0.5885,46458193.71,27097258.23
ADA,2025-07-09,0.5885,0.6276,0.5842,0.6229,109164398.08,66118750.42
ADA,2025-07-10,0.6229,0.6802,0.6177,0.6775,89129743.75,57580751.36
ADA,2025-07-11,0.6775,0.7769,0.6682,0.7094,239906203.31,174639262.32
ADA,2025-07-12,0.7094,0.737,0.6885,0.7091,85228056.88,60891819.75
ADA,2025-07-13,0.7091,0.7563,0.7053,0.737,104916047.26,77279126.5
ADA,2025-07-14,0.737,0.7683,0.7214,0.7354,129682772.2,97289375.72
ADA,2025-07-15,0.7354,0.7542,0.7107,0.7469,110097118.28,80265738.63
ADA,2025-07-16,0.7469,0.7849,0.7331,0.7648,98310578.5,74581987.3
ADA,2025-07-17,0.7648,0.8391,0.7404,0.8224,163732534.77,130714661.02
ADA,2025-07-18,0.8224,0.8959,0.7964,0.8165,191393288.38,161876641.9
ADA,2025-07-19,0.8165,0.8378,0.8026,0.8303,53247698.05,43913702.8
ADA,2025-07-20,0.8303,0.8787,0.8238,0.8585,104691357.36,89497648.39
ADA,2025-07-21,0.8585,0.9342,0.8418,0.8897,168466520.36,150868291.53
ADA,2025-07-22,0.8897,0.91,0.853,0.9039,113037273.43,99603301.41
ADA,2025-07-23,0.9039,0.9042,0.7861,0.8164,122976049.19,102374360.24
ADA,2025-07-24,0.8164,0.8389,0.7623,0.8061,144567541.8,116952534.81
ADA,2025-07-25,0.8061,0.8184,0.775,0.816,95707569.13,76373315.84
ADA,2025-07-26,0.816,0.8388,0.8123,0.82,42086546.19,34749591.39
ADA,2025-07-27,0.82,0.8395,0.8147,0.8323,45256146.36,37433935.12
ADA,2025-07-28,0.8323,0.8559,0.7858,0.7931,80851103.45,66232412.4
ADA,2025-07-29,0.7931,0.8098,0.7691,0.7828,63104857.41,49680113.44
ADA,2025-07-30,0.7828,0.7895,0.7307,0.7633,66068052.9,50412007.9
ADA,2025-07-31,0.7633,0.7893,0.736,0.739,50219170.12,38429485.33
ADA,2025-08-01,0.739,0.7409,0.6961,0.7143,126316694.54,91573575.85
ADA,2025-08-02,0.7143,0.7273,0.6843,0.6973,54673694.52,38414395.25
ADA,2025-08-03,0.6973,0.7309,0.687,0.7271,45553935.71,32664947.37
ADA,2025-08-04,0.7271,0.7591,0.7252,0.7547,56445819.83,41983026.4
ADA,2025-08-05,0.7547,0.7598,0.713,0.7257,56691742.31,41540765.82
ADA,2025-08-06,0.7257,0.7481,0.7107,0.7415,46296892.36,33688781.56
ADA,2025-08-07,0.7415,0.7887,0.7334,0.7877,57029689.25,43445662.58
ADA,2025-08-08,0.7877,0.807,0.7761,0.7912,108465281.02,85893058.04
ADA,2025-08-09,0.7912,0.8211,0.7902,0.803,53101697.62,42963461.45
ADA,2025-08-10,0.803,0.8342,0.7845,0.8017,54207311.7,43692044.67
ADA,2025-08-11,0.8017,0.8334,0.7665,0.7734,89021034.99,71367115.37
ADA,2025-08-12,0.7734,0.8575,0.7658,0.8411,106602219.72,87217765.7
ADA,2025-08-13,0.8411,0.9223,0.8331,0.9044,114923351.22,100623690.06
ADA,2025-08-14,0.9044,1.019,0.8788,0.9264,359605147.46,340935005.84
ADA,2025-08-15,0.9264,0.9652,0.9111,0.9461,196607182.43,184474321.34
ADA,2025-08-16,0.9461,0.9782,0.9019,0.9217,118401971.07,111033433.86
ADA,2025-08-17,0.9217,0.9875,0.9052,0.9613,110824644.69,106093496.38
ADA,2025-08-18,0.9613,0.9684,0.892,0.9238,124044973.22,114298524.73
ADA,2025-08-19,0.9238,0.9538,0.8436,0.8463,182951018.38,163950776.22
ADA,2025-08-20,0.8463,0.8927,0.8376,0.8811,124318566.21,107374222.72
ADA,2025-08-21,0.8811,0.8924,0.8465,0.8516,63905916.87,55462369.37
ADA,2025-08-22,0.8516,0.8666,0.8217,0.8341,35472938.67,30039448.54
