coin,timestamp,open,high,low,close,volume_from,volume_to
DOGE,2025-05-24,0.2252,0.2304,0.2237,0.2252,172747345.53,39328600.62
DOGE,2025-05-25,0.2252,0.2265,0.2158,0.225,242457867.81,53565854.64
DOGE,2025-05-26,0.225,0.2305,0.2226,0.2261,204573872.81,46335751.34
DOGE,2025-05-27,0.2261,0.2322,0.2198,0.2261,269409558.58,61203961.47
DOGE,2025-05-28,0.2261,0.2279,0.2169,0.2209,223833100.69,49710533.29
DOGE,2025-05-29,0.2209,0.228,0.2141,0.2149,249571183.78,55357905.01
DOGE,2025-05-30,0.2149,0.2164,0.1907,0.1936,543456428.85,109412417.26
DOGE,2025-05-31,0.1936,0.1956,0.1856,0.1926,398174654.93,76087224.82
DOGE,2025-06-01,0.1926,0.1949,0.1866,0.1938,308767076.06,58934984.32
DOGE,2025-06-02,0.1938,0.1964,0.1886,0.1952,279676528.46,53620917.76
DOGE,2025-06-03,0.1952,0.2006,0.1915,0.1932,331322075.15,65021606.8
DOGE,2025-06-04,0.1932,0.1972,0.1872,0.1882,180066037.88,34687704.79
DOGE,2025-06-05,0.1882,0.1925,0.1682,0.1712,484444163.81,86438144.32
DOGE,2025-06-06,0.1712,0.1845,0.1696,0.1789,302334565.51,53734549.2
DOGE,2025-06-07,0.1789,0.1887,0.1779,0.1852,253298291.33,46697542.85
DOGE,2025-06-08,0.1852,0.1871,0.1809,0.1842,199696993.48,36750744.49
DOGE,2025-06-09,0.1842,0.196,0.1803,0.1949,366650688.99,69190915.04
DOGE,2025-06-10,0.1949,0.1986,0.189,0.1985,494055830.65,95709174.68
DOGE,2025-06-11,0.1985,0.2066,0.1913,0.193,398797256.68,79211486.44
DOGE,2025-06-12,0.193,0.1937,0.1801,0.1812,251439762.47,46983983.73
DOGE,2025-06-13,0.1812,0.1815,0.17,0.1805,446930706.05,78295416.95
DOGE,2025-06-14,0.1805,0.1805,0.1747,0.1784,179422046.92,31840454.75
DOGE,2025-06-15,0.1784,0.1787,0.1715,0.1756,172404808.27,30265327.0
DOGE,2025-06-16,0.1756,0.1812,0.1722,0.1728,288474915.5,51144412.48
DOGE,2025-06-17,0.1728,0.1761,0.164,0.1694,353467387.81,60278219.6
DOGE,2025-06-18,0.1694,0.1722,0.1642,0.1707,208216455.05,35060390.74
DOGE,2025-06-19,0.1707,0.1721,0.1678,0.171,158951910.74,27008520.96
DOGE,2025-06-20,0.171,0.172,0.1585,0.1624,287605662.83,47455067.08
DOGE,2025-06-21,0.1624,0.1644,0.1505,0.1546,232714294.69,36630194.79
DOGE,2025-06-22,0.1546,0.1577,0.1428,0.1513,617155683.42,92700250.27
DOGE,2025-06-23,0.1513,0.1654,0.1487,0.1639,491485369.91,76632516.03
DOGE,2025-06-24,0.1639,0.1677,0.1618,0.1658,302929432.31,49696634.37
DOGE,2025-06-25,0.1658,0.1678,0.1627,0.1647,275609369.65,45592339.64
DOGE,2025-06-26,0.1647,0.1681,0.158,0.1601,332563845.57,53790566.6
DOGE,2025-06-27,0.1601,0.1632,0.1572,0.1611,292548436.24,47012170.58
DOGE,2025-06-28,0.1611,0.1651,0.1606,0.1637,85431270.42,13917096.43
DOGE,2025-06-29,0.1637,0.17,0.1627,0.1695,137337852.42,22816093.4
DOGE,2025-06-30,0.1695,0.1698,0.1623,0.1652,278521143.14,46243080.54
DOGE,2025-07-01,0.1652,0.1663,0.1569,0.1578,240252065.07,38750355.55
DOGE,2025-07-02,0.1578,0.1727,0.1566,0.1688,389443460.35,65153186.34
DOGE,2025-07-03,0.1688,0.1754,0.1676,0.1721,289226765.97,49812270.62
DOGE,2025-07-04,0.1721,0.173,0.1613,0.1629,275683548.92,45417997.32
DOGE,2025-07-05,0.1629,0.1651,0.162,0.1642,171280652.71,28047540.25
DOGE,2025-07-06,0.1642,0.1751,0.1632,0.172,316142753.86,53687412.35
DOGE,2025-07-07,0.172,0.1772,0.1658,0.168,459046973.09,78676014.74
DOGE,2025-07-08,0.168,0.1719,0.166,0.171,220960540.07,37452481.16
DOGE,2025-07-09,0.171,0.1865,0.17,0.1806,517942953.26,90643776.35
DOGE,2025-07-10,0.1806,0.1964,0.1788,0.1951,372025721.06,69046029.45
DOGE,2025-07-11,0.1951,0.2138,0.1913,0.2012,1038235091.3,211951139.34
