coin,timestamp,open,high,low,close,volume_from,volume_to
ETH,2025-05-24,2526.9,2576.3,2515.98,2530.92,182525.0,464730641.55
ETH,2025-05-25,2530.92,2555.0,2464.25,2552.23,235037.8,589652070.16
ETH,2025-05-26,2552.23,2600.15,2527.36,2564.47,230814.8,590861351.31
ETH,2025-05-27,2564.47,2713.33,2511.1,2662.0,484940.99,1280752626.8
ETH,2025-05-28,2662.0,2689.79,2611.05,2682.1,364903.23,965255963.52
ETH,2025-05-29,2682.1,2788.28,2620.36,2631.82,525703.44,1415485994.05
ETH,2025-05-30,2631.82,2649.44,2508.97,2531.79,418659.47,1083869480.12
ETH,2025-05-31,2531.79,2551.37,2479.94,2529.32,198221.35,500287625.87
ETH,2025-06-01,2529.32,2549.01,2470.58,2540.45,203463.76,512156252.24
ETH,2025-06-02,2540.45,2616.44,2476.59,2609.07,349478.71,884892086.43
ETH,2025-06-03,2609.07,2657.23,2583.3,2594.88,409845.38,1073527716.78
ETH,2025-06-04,2594.88,2680.55,2585.02,2608.28,326189.58,858114267.83
ETH,2025-06-05,2608.28,2641.72,2393.11,2415.85,532239.12,1351426110.77
ETH,2025-06-06,2415.85,2532.69,2385.42,2478.31,349992.74,865502968.12
ETH,2025-06-07,2478.31,2543.98,2458.79,2526.17,142808.46,357329388.56
ETH,2025-06-08,2526.17,2549.53,2493.72,2510.78,125420.39,315777224.57
ETH,2025-06-09,2510.78,2695.13,2479.6,2681.27,315100.2,810951391.12
ETH,2025-06-10,2681.27,2826.68,2657.34,2816.15,608857.69,1667701406.47
ETH,2025-06-11,2816.15,2879.79,2744.11,2772.57,460948.83,1295621784.12
ETH,2025-06-12,2772.57,2785.3,2618.39,2644.51,429956.98,1170537265.0
ETH,2025-06-13,2644.51,2646.56,2446.47,2580.25,708734.92,1792683839.24
ETH,2025-06-14,2580.25,2580.87,2490.47,2532.75,217795.67,551015115.63
ETH,2025-06-15,2532.75,2560.57,2493.32,2548.41,180343.51,456963811.88
ETH,2025-06-16,2548.41,2681.43,2516.21,2545.23,480876.31,1256426999.66
ETH,2025-06-17,2545.23,2619.34,2454.56,2510.96,483962.49,1226237468.69
ETH,2025-06-18,2510.96,2548.88,2466.89,2525.85,350433.02,879550757.97
ETH,2025-06-19,2525.85,2547.93,2485.66,2521.84,188266.61,473983171.76
ETH,2025-06-20,2521.84,2569.74,2368.96,2407.22,385135.24,949347412.87
ETH,2025-06-21,2407.22,2449.16,2217.69,2296.94,299897.17,705748797.49
ETH,2025-06-22,2296.94,2314.86,2113.65,2228.57,672272.5,1494221559.94
ETH,2025-06-23,2228.57,2439.75,2189.86,2413.17,670703.67,1541484884.73
ETH,2025-06-24,2413.17,2483.31,2378.22,2449.69,481281.29,1168281547.61
ETH,2025-06-25,2449.69,2469.72,2391.65,2420.23,396227.23,962396741.81
ETH,2025-06-26,2420.23,2521.41,2395.33,2417.5,382850.9,937995211.41
ETH,2025-06-27,2417.5,2464.25,2384.39,2424.42,301424.86,731599180.91
ETH,2025-06-28,2424.42,2449.0,2407.31,2437.55,90039.24,218789309.47
ETH,2025-06-29,2437.55,2525.9,2417.25,2501.26,143720.04,353963423.9
ETH,2025-06-30,2501.26,2524.69,2435.11,2486.37,347433.65,862990157.33
ETH,2025-07-01,2486.37,2501.58,2387.31,2405.7,257585.37,627531445.49
ETH,2025-07-02,2405.7,2619.85,2375.73,2571.33,446980.58,1127288937.64
ETH,2025-07-03,2571.33,2636.51,2557.62,2592.04,381008.29,987452946.33
ETH,2025-07-04,2592.04,2603.8,2475.46,2508.69,260732.2,659258591.62
ETH,2025-07-05,2508.69,2530.4,2488.62,2517.09,97935.38,245918493.32
ETH,2025-07-06,2517.09,2605.48,2504.53,2571.14,164312.05,419467064.37
ETH,2025-07-07,2571.14,2591.09,2512.71,2542.5,283620.03,722742288.77
ETH,2025-07-08,2542.5,2628.25,2523.96,2616.29,302820.26,782816619.68
ETH,2025-07-09,2616.29,2796.41,2590.85,2769.99,520588.94,1401139415.9
ETH,2025-07-10,2769.99,3000.74,2756.79,2951.31,615589.48,1744393184.02
ETH,2025-07-11,2951.31,3039.9,2914.32,2959.03,663817.63,1980022543.13
ETH,2025-07-12,2959.03,2980.71,2905.43,2944.27,234302.3,689836595.19
ETH,2025-07-13,2944.27,3021.17,2937.49,2973.01,258053.21,768491471.97
ETH,2025-07-14,2973.01,3083.04,2964.19,3014.66,572787.88,1733654671.96
ETH,2025-07-15,3014.66,3144.48,2933.53,3139.33,615194.29,1864246145.13
ETH,2025-07-16,3139.33,3425.33,3101.74,3373.1,765848.69,2498357116.86
ETH,2025-07-17,3373.1,3526.44,3312.55,3479.48,758805.07,2597432476.09
ETH,2025-07-18,3479.48,3676.78,3462.02,3549.56,867005.63,3107895984.56
ETH,2025-07-19,3549.56,3610.57,3510.16,3594.34,274622.3,978223077.89
ETH,2025-07-20,3594.34,3825.1,3581.09,3758.64,484664.07,1803996590.01
ETH,2025-07-21,3758.64,3859.77,3703.91,3764.26,591211.08,2235864180.81
ETH,2025-07-22,3764.26,3800.87,3618.98,3748.64,634426.21,2350611646.53
ETH,2025-07-23,3748.64,3766.35,3528.71,3630.21,616049.85,2237459018.02
ETH,2025-07-24,3630.21,3775.3,3510.45,3708.76,631094.36,2321023591.06
ETH,2025-07-25,3708.76,3750.35,3575.42,3726.01,646581.07,2367987074.41
ETH,2025-07-26,3726.01,3794.86,3700.41,3742.79,209891.67,785620815.9
ETH,2025-07-27,3742.79,3880.83,3732.24,3874.12,257113.7,981387021.29
ETH,2025-07-28,3874.12,3941.6,3754.34,3798.95,515141.86,1977987690.88
ETH,2025-07-29,3798.95,3885.97,3716.15,3793.46,474932.26,1799411630.81
ETH,2025-07-30,3793.46,3833.7,3677.33,3810.29,417457.06,1576605891.64
