coin,timestamp,open,high,low,close,volume_from,volume_to
DOT,2025-05-24,4.561,4.634,4.516,4.548,932927.78,4276727.88
DOT,2025-05-25,4.548,4.563,4.358,4.525,1337427.26,5968023.5
DOT,2025-05-26,4.525,4.618,4.429,4.47,1107582.71,5018468.15
DOT,2025-05-27,4.47,4.615,4.375,4.537,1431138.9,6480048.37
DOT,2025-05-28,4.537,4.662,4.42,4.587,978460.56,4430002.63
DOT,2025-05-29,4.587,4.681,4.331,4.333,1700092.19,7654578.77
DOT,2025-05-30,4.333,4.356,4.014,4.049,2321346.69,9686928.0
DOT,2025-05-31,4.049,4.122,3.9,4.078,1464383.23,5886027.52
DOT,2025-06-01,4.078,4.103,3.973,4.067,910128.39,3681348.24
DOT,2025-06-02,4.067,4.172,3.956,4.148,1436809.49,5800684.35
DOT,2025-06-03,4.148,4.223,4.103,4.14,1062057.62,4426711.62
DOT,2025-06-04,4.14,4.214,3.987,4.008,1465414.32,6014891.54
DOT,2025-06-05,4.008,4.076,3.745,3.817,1995542.26,7814024.28
DOT,2025-06-06,3.817,3.993,3.808,3.89,849384.18,3321982.86
DOT,2025-06-07,3.89,4.06,3.872,4.031,653689.43,2619451.48
DOT,2025-06-08,4.031,4.114,3.98,4.026,856815.02,3472567.16
DOT,2025-06-09,4.026,4.161,3.966,4.154,1382281.66,5602750.31
DOT,2025-06-10,4.154,4.316,4.097,4.295,2232555.51,9434169.31
DOT,2025-06-11,4.295,4.343,4.148,4.19,1820145.23,7759055.1
DOT,2025-06-12,4.19,4.204,3.91,3.922,1797909.03,7297600.57
DOT,2025-06-13,3.922,3.922,3.671,3.84,2955833.2,11211565.52
DOT,2025-06-14,3.84,3.846,3.719,3.783,1290195.22,4893798.12
DOT,2025-06-15,3.783,3.834,3.736,3.821,766082.75,2904675.19
DOT,2025-06-16,3.821,3.992,3.788,3.847,1783296.77,6958963.72
DOT,2025-06-17,3.847,3.896,3.665,3.72,1787871.86,6755804.42
DOT,2025-06-18,3.72,3.786,3.576,3.623,1712713.52,6261511.05
DOT,2025-06-19,3.623,3.657,3.497,3.549,1615703.59,5759597.7
DOT,2025-06-20,3.549,3.577,3.339,3.439,2625072.57,9079078.71
DOT,2025-06-21,3.439,3.508,3.22,3.325,1911945.71,6432837.64
DOT,2025-06-22,3.325,3.363,3.017,3.154,4901266.6,15577563.32
DOT,2025-06-23,3.154,3.423,3.114,3.418,3369857.72,10976909.18
DOT,2025-06-24,3.418,3.523,3.389,3.441,1777205.54,6119040.38
DOT,2025-06-25,3.441,3.46,3.344,3.354,1629167.07,5551455.77
DOT,2025-06-26,3.354,3.434,3.272,3.3,1683791.38,5620891.86
DOT,2025-06-27,3.3,3.395,3.275,3.362,1367042.81,4553103.63
DOT,2025-06-28,3.362,3.426,3.333,3.409,674580.63,2278281.79
DOT,2025-06-29,3.409,3.581,3.38,3.543,1263266.53,4353131.13
DOT,2025-06-30,3.543,3.561,3.352,3.399,2007388.21,6875251.41
DOT,2025-07-01,3.399,3.419,3.258,3.281,1706587.88,5681258.49
DOT,2025-07-02,3.281,3.623,3.246,3.545,2435639.34,8458479.27
DOT,2025-07-03,3.545,3.664,3.501,3.54,1916347.18,6865019.0
DOT,2025-07-04,3.54,3.562,3.316,3.359,2057598.39,7030687.95
DOT,2025-07-05,3.359,3.391,3.311,3.357,756781.88,2538727.08
DOT,2025-07-06,3.357,3.448,3.33,3.394,1587788.63,5374266.55
DOT,2025-07-07,3.394,3.436,3.326,3.37,1308718.02,4430763.61
DOT,2025-07-08,3.37,3.475,3.327,3.448,2467391.85,8409580.76
DOT,2025-07-09,3.448,3.659,3.418,3.621,2500842.83,8800420.05
DOT,2025-07-10,3.621,3.892,3.592,3.88,3176480.9,11783127.86
DOT,2025-07-11,3.88,4.108,3.812,3.909,4143055.93,16434070.29
DOT,2025-07-12,3.909,4.066,3.798,3.891,2361541.69,9251026.16
DOT,2025-07-13,3.891,4.067,3.877,3.984,1842835.05,7338713.79
DOT,2025-07-14,3.984,4.196,3.903,3.951,3356230.65,13682886.45
DOT,2025-07-15,3.951,4.098,3.802,4.083,3021914.14,11904347.72
DOT,2025-07-16,4.083,4.269,4.013,4.158,3213453.85,13325993.29
DOT,2025-07-17,4.158,4.304,4.071,4.26,4773382.08,19997715.43
DOT,2025-07-18,4.26,4.625,4.141,4.231,6215677.98,27421885.32
DOT,2025-07-19,4.231,4.455,4.136,4.41,1890151.39,8106598.11
DOT,2025-07-20,4.41,4.587,4.351,4.482,3426705.67,15322389.91
DOT,2025-07-21,4.482,4.675,4.397,4.498,4674665.71,21231444.75
DOT,2025-07-22,4.498,4.554,4.282,4.552,5153486.11,22727884.41
DOT,2025-07-23,4.552,4.552,4.002,4.114,5732914.18,24291913.2
DOT,2025-07-24,4.114,4.201,3.899,4.003,4376970.0,17741509.39
DOT,2025-07-25,4.003,4.1,3.865,4.088,3510568.94,13977591.84
DOT,2025-07-26,4.088,4.197,4.07,4.126,1569665.81,6475300.48
DOT,2025-07-27,4.126,4.253,4.116,4.239,1645767.5,6877827.77
DOT,2025-07-28,4.239,4.309,3.933,3.964,2835103.0,11703857.98
DOT,2025-07-29,3.964,4.081,3.821,3.904,3320741.69,13114702.1
DOT,2025-07-30,3.904,3.92,3.629,3.807,3348568.55,12732546.14
DOT,2025-07-31,3.807,3.919,3.668,3.682,2336591.37,8891794.65
DOT,2025-08-01,3.682,3.723,3.45,3.547,4747124.56,17169535.54
DOT,2025-08-02,3.547,3.628,3.427,3.507,2355629.81,8311824.67
DOT,2025-08-03,3.507,3.626,3.459,3.604,1751543.51,6266926.65
DOT,2025-08-04,3.604,3.755,3.6,3.72,1904608.02,6981387.43
DOT,2025-08-05,3.72,3.723,3.538,3.62,2039382.4,7412618.01
DOT,2025-08-06,3.62,3.696,3.554,3.675,1420324.87,5148999.54
DOT,2025-08-07,3.675,3.872,3.645,3.866,2541705.56,9512930.96
DOT,2025-08-08,3.866,3.998,3.811,3.979,6194157.41,24090170.28
DOT,2025-08-09,3.979,4.165,3.971,4.137,2919684.52,11931967.97
DOT,2025-08-10,4.137,4.18,3.966,4.047,2350775.3,9551927.83
DOT,2025-08-11,4.047,4.16,3.814,3.856,3279303.77,13076912.76
DOT,2025-08-12,3.856,4.232,3.837,4.155,4040592.45,16437448.19
DOT,2025-08-13,4.155,4.318,4.097,4.278,4080044.62,17220493.96
DOT,2025-08-14,4.278,4.369,3.907,3.988,5941364.35,24542236.11
DOT,2025-08-15,3.988,4.109,3.822,3.899,4206725.76,16590907.41
DOT,2025-08-16,3.899,3.999,3.892,3.967,1352280.16,5327014.75
