coin,timestamp,open,high,low,close,volume_from,volume_to
XRP,2025-05-24,2.297,2.36,2.287,2.331,50719017.79,118531272.58
XRP,2025-05-25,2.331,2.345,2.267,2.343,88871561.57,204862227.77
XRP,2025-05-26,2.343,2.36,2.297,2.311,74094429.52,172721556.25
XRP,2025-05-27,2.311,2.355,2.269,2.318,88326619.0,204786932.6
XRP,2025-05-28,2.318,2.324,2.227,2.275,105755046.23,240566858.51
XRP,2025-05-29,2.275,2.314,2.239,2.245,106704234.98,243555044.95
XRP,2025-05-30,2.245,2.252,2.131,2.141,181327943.16,396325052.78
XRP,2025-05-31,2.141,2.208,2.081,2.175,116447699.79,249868908.86
XRP,2025-06-01,2.175,2.189,2.125,2.181,72496130.5,156424865.09
XRP,2025-06-02,2.181,2.205,2.137,2.197,87312426.58,189257516.45
XRP,2025-06-03,2.197,2.283,2.186,2.246,110546825.17,246964941.23
XRP,2025-06-04,2.246,2.267,2.197,2.202,88607252.84,198166141.77
XRP,2025-06-05,2.202,2.227,2.061,2.095,153803085.81,330713624.48
XRP,2025-06-06,2.095,2.192,2.083,2.162,102343338.68,220140487.8
XRP,2025-06-07,2.162,2.192,2.149,2.178,39336608.77,85702120.3
XRP,2025-06-08,2.178,2.296,2.168,2.268,103631073.49,233180578.77
XRP,2025-06-09,2.268,2.33,2.224,2.321,122399970.41,278722789.4
XRP,2025-06-10,2.321,2.328,2.261,2.307,105303341.88,241703153.6
XRP,2025-06-11,2.307,2.338,2.253,2.271,120744655.77,278204032.16
XRP,2025-06-12,2.271,2.274,2.172,2.191,97528844.15,217396452.1
XRP,2025-06-13,2.191,2.193,2.086,2.149,163738402.72,348814571.8
XRP,2025-06-14,2.149,2.179,2.111,2.14,76924945.21,165282495.69
XRP,2025-06-15,2.14,2.177,2.139,2.166,44469638.51,96057892.49
XRP,2025-06-16,2.166,2.338,2.152,2.239,193863567.72,440368508.74
XRP,2025-06-17,2.239,2.258,2.143,2.16,154129785.65,338825641.48
XRP,2025-06-18,2.16,2.182,2.119,2.171,103960712.07,223619879.6
XRP,2025-06-19,2.171,2.186,2.145,2.165,65645781.68,141942504.56
XRP,2025-06-20,2.165,2.18,2.086,2.12,99036195.8,211743833.27
XRP,2025-06-21,2.12,2.145,1.999,2.064,101151985.76,210241730.28
XRP,2025-06-22,2.064,2.09,1.909,2.019,222660696.4,442627592.04
XRP,2025-06-23,2.019,2.172,1.96,2.16,205853875.07,421103424.63
XRP,2025-06-24,2.16,2.217,2.133,2.191,137493964.18,300177889.24
XRP,2025-06-25,2.191,2.232,2.171,2.187,108892476.16,238800908.88
XRP,2025-06-26,2.187,2.214,2.096,2.106,128714208.39,275944198.61
XRP,2025-06-27,2.106,2.156,2.069,2.143,129320477.69,271753652.72
XRP,2025-06-28,2.143,2.209,2.135,2.186,76098213.2,166251770.71
XRP,2025-06-29,2.186,2.22,2.177,2.207,52476133.26,115150121.55
XRP,2025-06-30,2.207,2.329,2.166,2.237,179125484.35,401933328.31
XRP,2025-07-01,2.237,2.254,2.148,2.172,115906514.58,254700228.08
XRP,2025-07-02,2.172,2.292,2.158,2.234,149891016.96,333774627.49
XRP,2025-07-03,2.234,2.312,2.226,2.257,128116423.79,291097609.33
XRP,2025-07-04,2.257,2.269,2.198,2.221,76201964.02,169711562.58
XRP,2025-07-05,2.221,2.234,2.203,2.218,37624661.58,83504610.25
XRP,2025-07-06,2.218,2.29,2.21,2.272,74967245.05,169679586.91
XRP,2025-07-07,2.272,2.354,2.256,2.271,163193989.6,375848677.61
XRP,2025-07-08,2.271,2.322,2.249,2.311,118156655.54,270523244.97
XRP,2025-07-09,2.311,2.429,2.298,2.405,173823267.84,413187045.35
XRP,2025-07-10,2.405,2.569,2.395,2.547,210110556.21,520894303.24
XRP,2025-07-11,2.547,2.976,2.512,2.733,533484018.35,1464564352.48
XRP,2025-07-12,2.733,2.848,2.664,2.74,213608504.91,589284830.81
XRP,2025-07-13,2.74,2.895,2.725,2.837,194683879.55,548745091.72
XRP,2025-07-14,2.837,3.035,2.823,2.959,390664795.55,1152613209.6
XRP,2025-07-15,2.959,2.959,2.805,2.92,233544176.05,674079365.67
XRP,2025-07-16,2.92,3.102,2.878,3.039,259121118.79,777789712.29
XRP,2025-07-17,3.039,3.552,2.989,3.484,578132097.12,1906881571.27
XRP,2025-07-18,3.484,3.665,3.346,3.416,538988491.82,1886829017.68
XRP,2025-07-19,3.416,3.487,3.356,3.427,162545475.94,557138226.92
XRP,2025-07-20,3.427,3.559,3.388,3.456,207091727.08,721979937.58
XRP,2025-07-21,3.456,3.652,3.41,3.552,269445529.42,958837298.22
XRP,2025-07-22,3.552,3.581,3.424,3.552,244453386.17,858844068.62
XRP,2025-07-23,3.552,3.554,3.05,3.186,395965778.35,1296447247.79
XRP,2025-07-24,3.186,3.268,2.96,3.147,341020039.86,1075190410.89
XRP,2025-07-25,3.147,3.163,3.001,3.143,260492308.11,803405571.33
XRP,2025-07-26,3.143,3.219,3.109,3.167,97853649.93,310514917.15
XRP,2025-07-27,3.167,3.252,3.158,3.24,104202017.15,334125633.39
XRP,2025-07-28,3.24,3.332,3.108,3.123,206553386.21,662457406.82
XRP,2025-07-29,3.123,3.186,3.054,3.128,173048734.41,540607965.71
XRP,2025-07-30,3.128,3.162,3.001,3.096,182415067.07,564073840.4
XRP,2025-07-31,3.096,3.177,3.012,3.023,140588778.53,435429735.16
XRP,2025-08-01,3.023,3.058,2.893,2.96,266075500.3,792364519.18
XRP,2025-08-02,2.96,3.019,2.74,2.769,203629824.0,580205925.2
XRP,2025-08-03,2.769,2.962,2.728,2.949,131213887.96,376275590.6
XRP,2025-08-04,2.949,3.091,2.932,3.072,153509538.64,465014449.06
XRP,2025-08-05,3.072,3.106,2.916,2.962,145580409.53,437026835.39
XRP,2025-08-06,2.962,3.019,2.902,2.991,113893643.04,337690365.66
XRP,2025-08-07,2.991,3.334,2.965,3.32,217749086.52,682697046.83
XRP,2025-08-08,3.32,3.383,3.204,3.286,260312418.2,860172127.48
XRP,2025-08-09,3.286,3.348,3.211,3.227,125410156.4,412123396.76
XRP,2025-08-10,3.227,3.279,3.153,3.188,118584796.32,380105203.84
XRP,2025-08-11,3.188,3.333,3.119,3.13,188486068.65,605891270.84
XRP,2025-08-12,3.13,3.305,3.105,3.267,163304035.8,524727732.24
XRP,2025-08-13,3.267,3.334,3.203,3.276,179204872.57,585162405.67
XRP,2025-08-14,3.276,3.352,3.007,3.082,267527003.63,844961253.51
XRP,2025-08-15,3.082,3.145,3.004,3.08,139397921.85,429668157.34
XRP,2025-08-16,3.08,3.158,3.074,3.107,71867127.29,223743564.3
XRP,2025-08-17,3.107,3.149,3.079,3.09,71170968.13,221720897.36
XRP,2025-08-18,3.09,3.098,2.942,3.062,178024173.43,536667177.87
XRP,2025-08-19,3.062,3.082,2.849,2.86,186082654.36,549238407.47
XRP,2025-08-20,2.86,2.991,2.819,2.951,178924669.76,519603981.49
XRP,2025-08-21,2.951,2.958,2.842,2.851,118497036.44,343434516.38
XRP,2025-08-22,2.851,2.884,2.782,2.81,77745553.71,220650606.8
