coin,timestamp,open,high,low,close,volume_from,volume_to
SOL,2025-05-24,174.03,178.36,172.67,175.96,1110014.1,195112928.08
SOL,2025-05-25,175.96,176.95,169.23,175.81,1423343.02,245361650.31
SOL,2025-05-26,175.81,179.09,173.56,174.98,1140788.71,201379763.47
SOL,2025-05-27,174.98,179.48,171.36,176.8,1474271.72,260529810.97
SOL,2025-05-28,176.8,177.48,169.03,172.28,1279498.95,220733710.07
SOL,2025-05-29,172.28,175.41,166.05,166.71,1483785.63,253136898.85
SOL,2025-05-30,166.71,167.48,155.34,156.26,1800456.85,290792123.78
SOL,2025-05-31,156.26,158.08,152.22,156.53,1225741.54,190288070.24
SOL,2025-06-01,156.53,157.98,150.68,157.77,1087354.98,167972634.42
SOL,2025-06-02,157.77,158.98,151.76,156.91,1406571.9,217518120.62
SOL,2025-06-03,156.91,163.71,154.36,155.3,1263657.4,201821172.15
SOL,2025-06-04,155.3,158.01,153.05,153.31,955449.23,148877566.64
SOL,2025-06-05,153.31,154.66,141.57,144.38,1894645.32,281549617.46
SOL,2025-06-06,144.38,152.46,144.27,147.95,1099142.54,163583793.09
SOL,2025-06-07,147.95,152.91,147.01,150.16,606626.38,91401983.83
SOL,2025-06-08,150.16,155.33,148.1,152.53,560641.5,84863431.72
SOL,2025-06-09,152.53,161.76,149.7,161.23,1153604.79,179108410.9
SOL,2025-06-10,161.23,165.68,156.4,165.14,1748946.04,282391223.47
SOL,2025-06-11,165.14,168.37,159.28,161.02,2106957.56,347532150.94
SOL,2025-06-12,161.02,161.34,152.11,152.41,1549533.55,244390728.28
SOL,2025-06-13,152.41,152.63,140.95,148.66,2829771.69,411444727.38
SOL,2025-06-14,148.66,148.76,142.06,144.72,887424.91,129033268.57
SOL,2025-06-15,144.72,153.54,144.31,152.98,1158210.12,173155092.67
SOL,2025-06-16,152.98,158.81,150.39,150.74,1800283.26,280457762.66
SOL,2025-06-17,150.74,154.34,145.63,147.61,1547226.64,231469810.36
SOL,2025-06-18,147.61,149.3,143.81,146.41,1185343.03,173323788.84
SOL,2025-06-19,146.41,147.94,143.01,147.06,813179.56,118290943.95
SOL,2025-06-20,147.06,148.8,135.74,140.15,1469768.16,209040394.59
SOL,2025-06-21,140.15,142.61,131.03,135.47,1243159.52,171088028.19
SOL,2025-06-22,135.47,137.64,126.09,131.78,2290228.96,299805281.71
SOL,2025-06-23,131.78,147.01,130.75,144.6,2202669.96,303946442.39
SOL,2025-06-24,144.6,146.81,142.43,145.98,1572983.95,227254323.46
SOL,2025-06-25,145.98,147.99,142.38,143.65,1280993.15,186155680.36
SOL,2025-06-26,143.65,148.03,138.72,139.15,1205240.54,172524820.6
SOL,2025-06-27,139.15,144.87,137.25,142.17,1086841.2,153999088.73
SOL,2025-06-28,142.17,152.72,141.24,150.81,1070494.78,158063386.87
SOL,2025-06-29,150.81,154.76,149.46,153.36,826345.37,125325349.22
SOL,2025-06-30,153.36,162.24,149.51,154.88,1949024.76,301641460.78
SOL,2025-07-01,154.88,155.63,144.9,146.93,1215610.28,181207323.43
SOL,2025-07-02,146.93,154.51,145.9,152.35,1290587.03,194625028.54
SOL,2025-07-03,152.35,156.41,150.01,152.4,1169852.29,179108954.13
SOL,2025-07-04,152.4,153.91,145.29,147.75,849642.58,126735058.69
SOL,2025-07-05,147.75,148.7,145.98,147.62,398514.66,58791536.83
SOL,2025-07-06,147.62,153.84,146.85,151.91,696894.99,105109960.71
SOL,2025-07-07,151.91,153.58,147.75,148.91,1310319.46,197402475.12
SOL,2025-07-08,148.91,152.87,147.86,151.73,905828.62,136427428.99
SOL,2025-07-09,151.73,157.97,150.62,157.11,1679964.13,259666672.36
SOL,2025-07-10,157.11,165.38,155.75,164.34,1549048.19,247646914.87
SOL,2025-07-11,164.34,168.21,159.65,162.98,1913217.74,314326276.37
SOL,2025-07-12,162.98,163.98,157.81,160.76,828687.16,133459776.12
SOL,2025-07-13,160.76,164.22,159.73,161.22,855673.45,138616610.04
SOL,2025-07-14,161.22,168.66,160.71,162.26,1741667.06,288370746.54
SOL,2025-07-15,162.26,164.24,157.22,164.03,1411804.63,226893508.78
SOL,2025-07-16,164.03,176.08,161.56,173.73,2645609.47,448832181.75
SOL,2025-07-17,173.73,178.23,168.82,176.0,2123299.68,370359016.35
SOL,2025-07-18,176.0,184.76,173.37,177.36,2754635.38,493005880.88
SOL,2025-07-19,177.36,178.71,174.15,177.05,1527822.78,270528871.82
SOL,2025-07-20,177.05,183.71,176.43,181.54,2048642.3,369233722.51
SOL,2025-07-21,181.54,199.45,178.39,195.82,3983580.47,767167569.74
SOL,2025-07-22,195.82,206.4,193.89,205.8,4248991.63,851563456.61
SOL,2025-07-23,205.8,205.84,184.1,189.5,2832162.26,545246153.35
SOL,2025-07-24,189.5,192.02,179.48,182.97,2685397.37,500594161.49
SOL,2025-07-25,182.97,186.92,175.77,186.8,3047225.19,548134766.85
SOL,2025-07-26,186.8,189.79,184.43,184.92,986479.52,184124510.84
SOL,2025-07-27,184.92,190.74,184.62,188.71,1058015.86,198444213.45
SOL,2025-07-28,188.71,195.31,182.22,183.13,2077635.75,392184056.3
SOL,2025-07-29,183.13,186.64,178.26,181.47,1547445.62,281675365.23
SOL,2025-07-30,181.47,182.5,170.45,177.77,1492161.81,264745022.53
SOL,2025-07-31,177.77,182.67,171.49,172.22,1545370.03,274056279.25
SOL,2025-08-01,172.22,172.24,159.2,162.67,3092390.35,517751854.06
SOL,2025-08-02,162.67,165.21,155.81,158.48,1168151.35,187758990.15
SOL,2025-08-03,158.48,163.13,156.3,162.01,756400.78,121815182.3
SOL,2025-08-04,162.01,169.83,161.33,169.57,1479618.44,244834590.1
SOL,2025-08-05,169.57,171.69,161.31,164.07,1244209.67,206575201.16
SOL,2025-08-06,164.07,169.97,161.19,168.16,1112772.39,184561769.6
SOL,2025-08-07,168.16,175.55,166.74,175.44,1333902.69,228221779.43
SOL,2025-08-08,175.44,179.64,173.51,176.83,1853607.34,326886261.27
SOL,2025-08-09,176.83,183.45,176.67,179.99,1306976.1,236129743.74
SOL,2025-08-10,179.99,186.17,177.55,182.73,1533066.18,278888285.02
SOL,2025-08-11,182.73,186.77,173.47,174.88,1763873.63,317834435.91
SOL,2025-08-12,174.88,193.7,173.66,191.72,2782438.96,511272093.22
SOL,2025-08-13,191.72,204.92,191.45,201.62,4459934.69,888135634.49
SOL,2025-08-14,201.62,209.89,187.35,192.61,5097680.05,1013548552.3
SOL,2025-08-15,192.61,198.19,183.44,185.89,2484276.83,470225777.86
SOL,2025-08-16,185.89,190.14,185.36,189.74,1075876.39,202110244.79
SOL,2025-08-17,189.74,195.91,187.53,191.15,1494161.95,287406910.4
SOL,2025-08-18,191.15,191.44,180.11,183.0,2115435.14,388476891.58
SOL,2025-08-19,183.0,185.92,175.68,176.21,2132601.86,382872347.25
SOL,2025-08-20,176.21,188.02,176.05,187.97,2026882.64,369637533.22
SOL,2025-08-21,187.97,190.08,179.37,180.28,2036453.89,375167568.51
SOL,2025-08-22,180.28,185.0,177.29,178.67,675190.8,122630552.05
