coin,timestamp,open,high,low,close,volume_from,volume_to
USDT,2025-05-24,1.0,1.016,0.992,1.0,8974.86,8976.22
USDT,2025-05-25,1.0,1.003,0.9783,1.0,10033.32,10036.7
USDT,2025-05-26,1.0,1.009,0.9934,1.0,14310.31,14313.05
USDT,2025-05-27,1.0,1.017,0.9872,1.0,22990.09,22997.97
USDT,2025-05-28,1.0,1.014,0.9909,1.0,18610.56,18616.73
USDT,2025-05-29,1.0,1.032,0.9975,1.0,24372.04,24372.03
USDT,2025-05-30,1.0,1.023,0.9967,1.0,23541.73,23551.39
USDT,2025-05-31,1.0,1.003,0.9859,1.001,8552.6,8557.21
USDT,2025-06-01,1.001,1.003,0.9828,1.001,7524.76,7528.78
USDT,2025-06-02,1.001,1.001,0.9797,1.0,15178.71,15185.84
USDT,2025-06-03,1.0,1.014,0.9957,1.001,15596.95,15607.58
USDT,2025-06-04,1.001,1.013,0.9953,1.0,12621.93,12628.13
USDT,2025-06-05,1.0,1.044,0.9892,1.001,27489.96,27508.67
USDT,2025-06-06,1.001,1.011,0.9701,1.001,23040.48,23062.44
USDT,2025-06-07,1.001,1.004,0.9851,1.001,8589.54,8595.46
USDT,2025-06-08,1.001,1.008,0.9935,1.0,5871.71,5874.36
USDT,2025-06-09,1.0,1.003,0.9557,1.0,17851.91,17858.93
USDT,2025-06-10,1.0,1.001,0.9828,1.0,15646.83,15650.18
USDT,2025-06-11,1.0,1.016,0.995,1.0,14497.2,14501.38
USDT,2025-06-12,1.0,1.03,1.0,1.0,18051.35,18057.31
USDT,2025-06-13,1.0,1.001,0.9689,1.0,27266.37,27279.79
USDT,2025-06-14,1.0,1.008,0.9902,1.001,7543.44,7548.09
USDT,2025-06-15,1.001,1.006,0.9901,1.0,6583.09,6585.38
USDT,2025-06-16,1.0,1.021,0.9833,1.001,17191.01,17200.46
USDT,2025-06-17,1.001,1.031,0.9887,1.0,22652.14,22661.12
USDT,2025-06-18,1.0,1.007,0.9872,1.0,18605.58,18613.01
USDT,2025-06-19,1.0,1.006,0.9933,1.0,9905.95,9910.06
USDT,2025-06-20,1.0,1.032,0.991,1.0,17700.79,17703.54
USDT,2025-06-21,1.0,1.019,0.9883,1.0,11217.17,11221.86
USDT,2025-06-22,1.0,1.024,0.9733,1.001,30700.21,30716.27
USDT,2025-06-23,1.001,1.008,0.9463,1.001,35198.88,35226.75
USDT,2025-06-24,1.001,1.003,0.9871,1.0,19908.29,19917.67
USDT,2025-06-25,1.0,1.008,0.9864,1.001,19838.91,19850.92
USDT,2025-06-26,1.001,1.013,0.9967,1.001,14664.25,14671.86
USDT,2025-06-27,1.001,1.007,0.9942,1.001,16821.31,16830.92
USDT,2025-06-28,1.001,1.003,0.9962,1.0,3472.45,3474.18
USDT,2025-06-29,1.0,1.002,0.9896,1.0,6094.35,6096.25
USDT,2025-06-30,1.0,1.016,0.9964,1.0,14220.51,14223.9
USDT,2025-07-01,1.0,1.018,0.9964,1.0,15730.48,15737.18
USDT,2025-07-02,1.0,1.009,0.966,1.0,19611.45,19619.24
USDT,2025-07-03,1.0,1.009,0.9908,1.0,16647.63,16655.28
USDT,2025-07-04,1.0,1.017,0.9935,1.0,10440.09,10443.87
USDT,2025-07-05,1.0,1.002,0.9963,1.0,3465.16,3466.57
USDT,2025-07-06,1.0,1.005,0.9876,1.0,5651.56,5653.08
USDT,2025-07-07,1.0,1.014,0.9931,1.0,13350.41,13352.17
USDT,2025-07-08,1.0,1.003,0.9864,1.0,12122.12,12125.29
USDT,2025-07-09,1.0,1.007,0.9739,1.0,19761.34,19769.43
USDT,2025-07-10,1.0,1.007,0.953,1.0,31905.27,31909.33
USDT,2025-07-11,1.0,1.012,0.9805,1.0,26050.27,26060.14
USDT,2025-07-12,1.0,1.007,0.9961,1.0,7395.67,7398.84
USDT,2025-07-13,1.0,1.004,0.9848,1.0,9553.52,9557.36
USDT,2025-07-14,1.0,1.028,0.9925,1.0,31361.7,31367.5
USDT,2025-07-15,1.0,1.019,0.9826,1.0,50123.19,50133.43
USDT,2025-07-16,1.0,1.013,0.9866,1.001,27837.68,27852.97
USDT,2025-07-17,1.001,1.015,0.9858,1.001,25218.52,25240.54
USDT,2025-07-18,1.001,1.037,0.9761,1.001,867005.63,867663.18
USDT,2025-07-19,1.001,1.005,0.9772,1.001,274622.3,274793.55
