coin,timestamp,open,high,low,close,volume_from,volume_to
TRX,2025-05-24,0.2687,0.2739,0.2686,0.2703,50750898.41,13784828.64
TRX,2025-05-25,0.2703,0.2738,0.2687,0.2723,60457556.58,16409519.26
TRX,2025-05-26,0.2723,0.2749,0.2703,0.2739,49575108.79,13526063.11
TRX,2025-05-27,0.2739,0.279,0.272,0.2779,62649850.0,17262730.24
TRX,2025-05-28,0.2779,0.2797,0.2731,0.2738,54372612.43,15001739.49
TRX,2025-05-29,0.2738,0.2782,0.2725,0.2747,64839655.06,17871619.94
TRX,2025-05-30,0.2747,0.2763,0.2667,0.267,93774915.31,25406414.08
TRX,2025-05-31,0.267,0.2695,0.2632,0.2656,64176103.39,17096648.47
TRX,2025-06-01,0.2656,0.2714,0.2649,0.2708,37267995.97,9993429.86
TRX,2025-06-02,0.2708,0.2718,0.2659,0.2688,45863304.36,12318259.47
TRX,2025-06-03,0.2688,0.272,0.2683,0.2702,39936395.48,10795084.96
TRX,2025-06-04,0.2702,0.2748,0.268,0.2744,52910337.68,14388227.88
TRX,2025-06-05,0.2744,0.285,0.2661,0.282,100768879.72,27677776.55
TRX,2025-06-06,0.282,0.2825,0.2757,0.2779,62203964.0,17306127.1
TRX,2025-06-07,0.2779,0.287,0.2773,0.2869,44118362.56,12412871.66
TRX,2025-06-08,0.2869,0.2876,0.2815,0.2817,48907917.16,13929906.05
TRX,2025-06-09,0.2817,0.2902,0.2809,0.2869,59393871.4,16900540.09
TRX,2025-06-10,0.2869,0.2946,0.2857,0.2927,74817906.07,21723271.17
TRX,2025-06-11,0.2927,0.2928,0.277,0.2795,105680282.19,30201922.02
TRX,2025-06-12,0.2795,0.2795,0.2705,0.2718,105223981.98,28912499.0
TRX,2025-06-13,0.2718,0.2741,0.2669,0.2697,92503179.6,25028721.62
TRX,2025-06-14,0.2697,0.2721,0.2686,0.2711,28610246.97,7727527.84
TRX,2025-06-15,0.2711,0.2742,0.2702,0.2739,28487959.5,7755314.02
TRX,2025-06-16,0.2739,0.2953,0.2699,0.2741,196324588.36,54803499.02
TRX,2025-06-17,0.2741,0.2797,0.2714,0.2714,102763907.58,28303428.43
TRX,2025-06-18,0.2714,0.2749,0.2676,0.273,57401211.11,15574556.06
TRX,2025-06-19,0.273,0.2762,0.2722,0.2748,36519054.37,10011975.67
TRX,2025-06-20,0.2748,0.2757,0.2702,0.2723,52733858.84,14421438.65
TRX,2025-06-21,0.2723,0.2749,0.2689,0.271,40943688.52,11170014.14
TRX,2025-06-22,0.271,0.2738,0.2589,0.2634,120617176.33,32242908.12
TRX,2025-06-23,0.2634,0.2736,0.2633,0.2726,83425986.08,22441391.81
TRX,2025-06-24,0.2726,0.2747,0.2704,0.2738,46253578.82,12621941.23
TRX,2025-06-25,0.2738,0.275,0.2704,0.2732,36675525.4,9997230.91
TRX,2025-06-26,0.2732,0.2746,0.2703,0.271,50407828.84,13698255.61
TRX,2025-06-27,0.271,0.2735,0.2706,0.2732,30776417.75,8367956.99
TRX,2025-06-28,0.2732,0.2766,0.2729,0.2747,30754927.36,8442918.61
TRX,2025-06-29,0.2747,0.2769,0.2744,0.2769,23692702.33,6531015.39
TRX,2025-06-30,0.2769,0.2807,0.276,0.2798,37302827.65,10370581.49
TRX,2025-07-01,0.2798,0.2803,0.2778,0.2788,30371591.18,8469548.76
TRX,2025-07-02,0.2788,0.2852,0.2784,0.2845,35966405.43,10134313.64
TRX,2025-07-03,0.2845,0.2875,0.2816,0.2869,43653011.59,12426024.27
TRX,2025-07-04,0.2869,0.288,0.2812,0.2827,38325000.73,10912665.98
TRX,2025-07-05,0.2827,0.2851,0.2818,0.2832,21065199.57,5973327.42
TRX,2025-07-06,0.2832,0.2875,0.2826,0.287,18942993.52,5396790.44
TRX,2025-07-07,0.287,0.2889,0.2854,0.2867,24969079.19,7167645.82
TRX,2025-07-08,0.2867,0.2879,0.2859,0.2873,24885383.01,7140082.65
TRX,2025-07-09,0.2873,0.2901,0.2865,0.2898,32650788.93,9412427.36
TRX,2025-07-10,0.2898,0.2939,0.2895,0.2939,40182970.89,11703310.39
TRX,2025-07-11,0.2939,0.3034,0.2932,0.3009,92285262.02,27536938.65
TRX,2025-07-12,0.3009,0.3068,0.2975,0.3022,109447239.84,33084853.96
TRX,2025-07-13,0.3022,0.305,0.2999,0.3028,50752259.28,15346338.26
TRX,2025-07-14,0.3028,0.305,0.2997,0.3025,85705975.89,25893378.21
TRX,2025-07-15,0.3025,0.3029,0.2954,0.3005,81075027.63,24273970.04
TRX,2025-07-16,0.3005,0.3098,0.2999,0.3096,61097447.87,18564906.99
TRX,2025-07-17,0.3096,0.319,0.3077,0.3155,133366270.99,41763600.91
TRX,2025-07-18,0.3155,0.3343,0.3154,0.326,221116272.05,72303968.33
TRX,2025-07-19,0.326,0.3277,0.3171,0.3179,113522732.97,36662433.5
TRX,2025-07-20,0.3179,0.3206,0.3125,0.3141,82639797.51,26231973.25
TRX,2025-07-21,0.3141,0.3182,0.311,0.3144,118200636.89,37153396.46
TRX,2025-07-22,0.3144,0.3161,0.3071,0.3158,128295853.67,40033391.13
TRX,2025-07-23,0.3158,0.3186,0.3052,0.3095,172305554.58,53883389.32
TRX,2025-07-24,0.3095,0.3158,0.3006,0.3138,170038375.34,52578037.1
TRX,2025-07-25,0.3138,0.3178,0.3108,0.317,154241076.46,48484430.32
TRX,2025-07-26,0.317,0.3207,0.3163,0.32,52755445.59,16790743.57
TRX,2025-07-27,0.32,0.3229,0.3189,0.3199,52669931.38,16902817.68
TRX,2025-07-28,0.3199,0.328,0.3192,0.3224,119860420.53,38730858.03
TRX,2025-07-29,0.3224,0.3509,0.3214,0.3384,327882893.36,110447799.06
TRX,2025-07-30,0.3384,0.3402,0.3205,0.3275,172997370.57,57249975.35
TRX,2025-07-31,0.3275,0.3298,0.3243,0.3249,96065657.63,31430324.27
TRX,2025-08-01,0.3249,0.3285,0.3214,0.3234,205725664.24,66947443.14
TRX,2025-08-02,0.3234,0.3289,0.3187,0.3221,132647353.57,43040604.25
TRX,2025-08-03,0.3221,0.3281,0.3205,0.3275,69091826.78,22444615.04
TRX,2025-08-04,0.3275,0.3332,0.3271,0.3328,53754276.36,17772418.74
TRX,2025-08-05,0.3328,0.3351,0.3298,0.3338,81071073.07,26967980.45
TRX,2025-08-06,0.3338,0.3379,0.3314,0.3372,67249360.96,22484266.73
TRX,2025-08-07,0.3372,0.3416,0.3366,0.3385,87133621.07,29564064.42
TRX,2025-08-08,0.3385,0.34,0.3349,0.3381,141286564.76,47731053.96
TRX,2025-08-09,0.3381,0.339,0.3349,0.3351,40244943.51,13554741.48
TRX,2025-08-10,0.3351,0.3422,0.335,0.3383,75034115.77,25465339.28
TRX,2025-08-11,0.3383,0.3459,0.3381,0.3451,82513941.36,28230482.83
TRX,2025-08-12,0.3451,0.3539,0.3444,0.3525,97807998.81,34079964.8
TRX,2025-08-13,0.3525,0.3625,0.3519,0.362,97294074.16,34817634.06
TRX,2025-08-14,0.362,0.37,0.3536,0.3576,203208854.55,73532204.75
TRX,2025-08-15,0.3576,0.3618,0.3483,0.3525,133318732.01,47351182.66
TRX,2025-08-16,0.3525,0.3548,0.3453,0.3479,71346969.44,24967490.21
TRX,2025-08-17,0.3479,0.3552,0.3471,0.3534,68474943.2,24081279.91
TRX,2025-08-18,0.3534,0.3541,0.3445,0.3503,96696036.25,33732808.66
TRX,2025-08-19,0.3503,0.3527,0.3457,0.3478,90751942.6,31710273.47
TRX,2025-08-20,0.3478,0.3554,0.3462,0.3545,8615639.12,3014876.98
TRX,2025-08-21,0.3545,0.3573,0.3508,0.3535,6983404.73,2468222.11
TRX,2025-08-22,0.3538,0.3583,0.3534,0.3548,287316931.58,101942673.7
