coin,timestamp,open,high,low,close,volume_from,volume_to
BNB,2025-07-23 13:00:00,795.97,792.9,775.4,781.63,4192.51,3276971.17
BNB,2025-07-23 14:00:00,781.67,790.22,780.51,786.33,621.83,488177.96
BNB,2025-07-23 15:00:00,787.43,791.63,784.75,784.98,842.84,661616.28
BNB,2025-07-23 16:00:00,784.98,779.96,766.3,766.3,2395.92,1835996.86
BNB,2025-07-23 17:00:00,766.3,772.16,766.13,771.33,1521.63,1173680.65
BNB,2025-07-23 18:00:00,771.33,776.4,771.66,776.17,895.48,695040.33
BNB,2025-07-23 19:00:00,776.17,776.94,771.02,771.37,330.36,254831.16
BNB,2025-07-23 20:00:00,771.37,769.93,758.25,763.21,1269.94,969226.96
BNB,2025-07-23 21:00:00,763.21,771.53,757.82,768.93,991.17,762142.03
BNB,2025-07-23 22:00:00,768.93,775.1,768.1,774.15,596.11,461477.86
BNB,2025-07-23 23:00:00,774.15,778.67,774.87,777.01,364.58,283282.09
BNB,2025-07-24 00:00:00,777.01,785.06,775.29,784.35,1631.18,1279411.01
BNB,2025-07-24 01:00:00,784.35,785.46,782.95,784.38,352.71,276660.24
BNB,2025-07-24 02:00:00,784.38,785.64,781.36,783.03,794.58,622176.33
BNB,2025-07-24 03:00:00,783.03,780.69,778.2,779.98,364.02,283929.24
BNB,2025-07-24 04:00:00,779.98,777.23,767.78,768.02,927.6,712414.24
BNB,2025-07-24 05:00:00,768.02,765.94,752.29,752.29,1051.23,790831.51
BNB,2025-07-24 06:00:00,752.29,755.32,745.1,749.92,932.88,699581.5
BNB,2025-07-24 07:00:00,749.92,759.8,751.74,759.68,1670.9,1269350.45
BNB,2025-07-24 08:00:00,759.68,767.73,760.84,766.9,1249.65,958355.95
BNB,2025-07-24 09:00:00,766.9,767.56,764.47,766.37,446.65,342299.29
BNB,2025-07-24 10:00:00,766.37,767.12,758.83,763.57,361.95,276373.61
BNB,2025-07-24 11:00:00,763.57,771.94,764.47,770.76,818.72,631034.89
BNB,2025-07-24 12:00:00,770.76,770.89,766.14,769.34,417.25,321009.11
BNB,2025-07-24 13:00:00,769.34,768.19,764.88,765.35,237.35,181656.39
BNB,2025-07-24 14:00:00,765.35,778.11,769.17,777.03,819.01,636397.93
BNB,2025-07-24 15:00:00,777.03,780.65,776.36,778.74,811.88,632242.85
BNB,2025-07-24 16:00:00,778.74,775.24,770.37,775.0,759.17,588355.98
BNB,2025-07-24 17:00:00,775.0,786.38,778.87,781.97,526.42,411644.39
BNB,2025-07-24 18:00:00,782.67,788.05,780.93,781.31,515.01,402381.49
BNB,2025-07-24 19:00:00,782.04,781.9,779.52,779.52,1260.44,982538.52
BNB,2025-07-24 20:00:00,779.52,781.46,777.07,781.23,2145.51,1676127.47
BNB,2025-07-24 21:00:00,781.01,781.57,775.56,777.01,54.72,42601.74
BNB,2025-07-24 22:00:00,777.15,779.58,773.78,778.16,245.93,191372.19
BNB,2025-07-24 23:00:00,778.16,778.46,770.89,771.12,373.23,287805.79
BNB,2025-07-25 00:00:00,771.12,769.78,764.96,767.55,251.86,193314.48
BNB,2025-07-25 01:00:00,767.55,769.84,762.44,769.48,762.62,586823.02
BNB,2025-07-25 02:00:00,769.48,765.52,757.83,758.88,446.46,338809.94
BNB,2025-07-25 03:00:00,758.88,758.2,752.09,756.93,627.27,474801.95
BNB,2025-07-25 04:00:00,756.93,766.04,758.84,765.23,842.35,644587.32
BNB,2025-07-25 05:00:00,765.23,762.59,760.16,760.74,310.84,236468.99
BNB,2025-07-25 06:00:00,760.74,763.06,755.91,762.03,1621.66,1235747.42
BNB,2025-07-25 07:00:00,762.03,763.08,758.82,761.7,5860.81,4464174.78
BNB,2025-07-25 08:00:00,761.7,764.84,760.46,764.84,1016.92,777780.37
BNB,2025-07-25 09:00:00,764.84,773.18,769.11,771.43,1328.71,1025013.31
BNB,2025-07-25 10:00:00,771.43,773.7,767.76,769.51,381.31,293421.07
BNB,2025-07-25 11:00:00,769.51,771.56,769.46,771.56,269.93,208267.23
BNB,2025-07-25 12:00:00,771.56,774.17,768.83,774.17,1141.23,883503.18
BNB,2025-07-25 13:00:00,774.17,776.99,772.69,774.32,1776.57,1375629.42
BNB,2025-07-25 14:00:00,774.32,766.2,761.03,761.03,6398.23,4869220.64
BNB,2025-07-25 15:00:00,761.03,769.0,764.14,765.65,2104.06,1610969.78
BNB,2025-07-25 16:00:00,765.65,773.37,767.91,772.9,3310.96,2559053.78
BNB,2025-07-25 17:00:00,772.9,776.46,772.05,775.88,249.86,193860.42
BNB,2025-07-25 18:00:00,775.88,779.5,775.07,775.88,252.78,196127.73
BNB,2025-07-25 19:00:00,775.88,778.03,774.06,774.52,369.25,285993.3
BNB,2025-07-25 20:00:00,774.52,779.55,776.39,777.56,239.26,186039.4
BNB,2025-07-25 21:00:00,777.56,780.27,778.28,779.1,205.09,159785.35
BNB,2025-07-25 22:00:00,779.1,784.23,779.53,783.52,241.79,189447.58
BNB,2025-07-25 23:00:00,783.27,785.85,782.69,785.63,143.28,112423.58
BNB,2025-07-26 00:00:00,785.63,786.55,782.32,782.56,227.67,178165.01
BNB,2025-07-26 01:00:00,782.56,781.61,778.44,778.8,137.99,107465.93
BNB,2025-07-26 02:00:00,778.8,784.31,780.67,783.96,138.14,108295.87
BNB,2025-07-26 03:00:00,783.96,784.18,782.66,783.71,96.27,75448.2
BNB,2025-07-26 04:00:00,783.58,784.22,780.97,782.01,46.42,36328.57
BNB,2025-07-26 05:00:00,782.28,781.99,780.81,780.93,159.31,124409.79
BNB,2025-07-26 06:00:00,780.93,783.12,780.3,783.0,139.78,109447.85
BNB,2025-07-26 07:00:00,783.0,784.06,782.41,782.88,244.26,191227.03
BNB,2025-07-26 08:00:00,782.81,787.42,780.65,784.03,272.77,213860.65
BNB,2025-07-26 09:00:00,784.03,787.03,782.9,784.4,469.97,368645.76
BNB,2025-07-26 10:00:00,784.27,787.6,782.53,782.53,542.68,424661.34
BNB,2025-07-26 11:00:00,782.53,782.2,780.31,781.96,455.26,355995.33
BNB,2025-07-26 12:00:00,781.96,783.31,781.31,782.84,210.31,164639.07
BNB,2025-07-26 13:00:00,782.84,784.4,782.39,782.39,386.59,302462.79
BNB,2025-07-26 14:00:00,782.39,782.11,780.81,780.92,196.65,153568.67
BNB,2025-07-26 15:00:00,780.92,782.34,780.92,781.63,105.32,82321.13
BNB,2025-07-26 16:00:00,781.63,781.59,780.05,780.29,131.83,102865.35
BNB,2025-07-26 17:00:00,780.29,780.02,778.6,779.9,134.01,104514.4
BNB,2025-07-26 18:00:00,779.4,785.41,779.79,782.04,123.71,96745.96
BNB,2025-07-26 19:00:00,782.37,785.26,783.13,785.14,144.92,113782.59
BNB,2025-07-26 20:00:00,785.14,785.66,782.83,785.31,121.57,95469.54
BNB,2025-07-26 21:00:00,785.31,789.54,785.64,789.54,328.82,259615.63
BNB,2025-07-26 22:00:00,789.54,797.39,789.36,791.84,1289.13,1020789.66
BNB,2025-07-26 23:00:00,791.84,796.31,791.23,793.71,408.34,324103.83
BNB,2025-07-27 00:00:00,793.71,798.84,792.35,797.66,949.07,757033.05
BNB,2025-07-27 01:00:00,797.66,798.93,796.33,796.33,849.11,676169.93
BNB,2025-07-27 02:00:00,796.33,799.13,795.22,795.22,620.11,493124.46
BNB,2025-07-27 03:00:00,795.22,795.94,794.28,794.52,137.25,109047.39
BNB,2025-07-27 04:00:00,794.52,798.03,794.24,796.61,270.17,215220.14
BNB,2025-07-27 05:00:00,796.61,797.81,795.09,797.46,215.39,171764.45
BNB,2025-07-27 06:00:00,797.46,798.84,795.53,796.24,216.96,172751.5
BNB,2025-07-27 07:00:00,796.24,797.64,794.68,796.69,198.16,157872.84
BNB,2025-07-27 08:00:00,796.69,798.26,793.66,798.03,283.11,225929.87
BNB,2025-07-27 09:00:00,798.03,798.18,793.7,793.7,227.91,180892.48
BNB,2025-07-27 10:00:00,793.7,798.87,795.2,798.16,707.65,564817.32
BNB,2025-07-27 11:00:00,798.16,798.69,796.68,797.04,1142.6,910692.25
BNB,2025-07-27 12:00:00,797.04,798.04,795.44,795.79,1240.67,987315.31
BNB,2025-07-27 13:00:00,795.79,796.65,794.16,794.64,443.12,352119.84
BNB,2025-07-27 14:00:00,794.64,799.38,795.58,797.6,763.1,608647.33
BNB,2025-07-27 15:00:00,797.6,816.36,797.26,814.58,1716.33,1398094.37
BNB,2025-07-27 16:00:00,814.58,825.26,813.82,818.71,6545.85,5359125.64
BNB,2025-07-27 17:00:00,818.71,826.45,818.46,823.23,1181.29,972473.44
BNB,2025-07-27 18:00:00,823.23,828.13,822.05,827.29,3058.22,2530043.6
BNB,2025-07-27 19:00:00,827.29,830.83,825.71,830.71,900.2,747806.12
BNB,2025-07-27 20:00:00,830.72,831.05,825.69,830.67,695.39,577636.97
BNB,2025-07-27 21:00:00,830.76,840.01,832.02,838.7,1877.08,1574300.83
BNB,2025-07-27 22:00:00,838.7,846.68,837.83,840.22,1587.34,1333719.66
BNB,2025-07-27 23:00:00,840.22,845.84,838.43,844.17,1416.01,1195347.36
BNB,2025-07-28 00:00:00,844.17,847.85,839.62,842.12,1951.78,1643634.44
BNB,2025-07-28 01:00:00,842.12,846.3,840.58,845.46,1272.47,1075827.15
BNB,2025-07-28 02:00:00,845.46,852.59,842.2,843.51,2125.71,1793060.4
BNB,2025-07-28 03:00:00,843.51,845.9,839.93,841.96,1080.73,909934.04
BNB,2025-07-28 04:00:00,841.96,843.73,840.63,841.11,582.6,490031.02
BNB,2025-07-28 05:00:00,841.11,850.66,843.37,849.58,970.34,824383.66
BNB,2025-07-28 06:00:00,849.58,853.98,848.6,850.75,1072.99,912847.39
BNB,2025-07-28 07:00:00,850.75,859.46,846.14,856.01,2192.95,1877192.46
BNB,2025-07-28 08:00:00,855.94,860.33,852.55,856.83,958.9,821613.8
BNB,2025-07-28 09:00:00,857.9,861.58,852.9,853.97,1489.86,1272297.96
BNB,2025-07-28 10:00:00,853.97,852.77,845.28,846.71,1510.7,1279124.41
BNB,2025-07-28 11:00:00,846.71,851.84,846.14,850.77,754.99,642323.09
BNB,2025-07-28 12:00:00,850.77,857.94,847.24,850.21,1412.88,1201248.87
BNB,2025-07-28 13:00:00,850.21,848.61,840.68,842.57,957.82,807033.73
BNB,2025-07-28 14:00:00,842.57,841.96,832.17,832.99,1683.59,1402419.31
BNB,2025-07-28 15:00:00,832.99,840.45,832.06,836.2,874.25,731048.47
BNB,2025-07-28 16:00:00,836.2,839.38,832.66,838.32,1256.47,1053325.71
BNB,2025-07-28 17:00:00,838.32,836.7,831.06,832.7,961.95,801018.42
BNB,2025-07-28 18:00:00,832.7,834.11,827.63,829.75,1387.0,1150862.7
BNB,2025-07-28 19:00:00,829.75,834.99,830.97,831.68,528.42,439477.17
BNB,2025-07-28 20:00:00,831.68,832.21,824.18,824.18,2470.32,2036000.57
BNB,2025-07-28 21:00:00,824.18,827.43,822.11,825.65,379.12,313021.88
BNB,2025-07-28 22:00:00,825.65,827.46,821.8,824.98,362.11,298733.9
BNB,2025-07-28 23:00:00,824.98,829.13,821.46,824.06,585.83,482758.04
BNB,2025-07-29 00:00:00,824.06,831.13,822.05,831.13,775.48,644528.03
BNB,2025-07-29 01:00:00,831.13,831.87,826.33,826.45,450.55,372358.25
BNB,2025-07-29 02:00:00,826.45,831.43,816.91,817.14,5696.54,4654897.43
BNB,2025-07-29 03:00:00,816.95,832.0,823.28,828.97,963.6,798793.91
BNB,2025-07-29 04:00:00,829.23,832.49,826.91,827.63,664.92,550304.64
BNB,2025-07-29 05:00:00,827.18,835.41,830.08,833.89,266.74,222431.42
BNB,2025-07-29 06:00:00,833.89,838.57,830.53,830.53,1686.9,1401024.08
BNB,2025-07-29 07:00:00,830.1,831.33,825.38,825.5,2773.62,2289620.99
BNB,2025-07-29 08:00:00,825.5,830.94,825.47,827.01,633.04,523533.06
BNB,2025-07-29 09:00:00,826.79,832.57,824.83,832.57,750.98,625246.87
BNB,2025-07-29 10:00:00,832.6,830.08,820.62,822.27,745.51,613011.88
BNB,2025-07-29 11:00:00,822.27,830.11,823.71,826.32,2558.19,2113881.93
BNB,2025-07-29 12:00:00,826.32,829.18,822.64,822.64,539.03,443428.93
BNB,2025-07-29 13:00:00,822.64,821.84,814.13,815.2,684.04,557628.52
BNB,2025-07-29 14:00:00,815.2,813.53,806.93,811.65,979.15,794722.71
BNB,2025-07-29 15:00:00,811.65,808.71,801.2,804.72,1247.55,1003929.1
BNB,2025-07-29 16:00:00,804.72,809.53,804.24,806.71,940.9,759031.19
BNB,2025-07-29 17:00:00,806.71,815.41,806.81,815.29,3091.38,2520368.21
BNB,2025-07-29 18:00:00,815.29,814.78,806.91,807.49,906.6,732074.15
BNB,2025-07-29 19:00:00,807.49,807.11,803.0,803.35,168.77,135581.4
BNB,2025-07-29 20:00:00,803.35,805.38,801.5,802.68,259.68,208439.42
BNB,2025-07-29 21:00:00,802.68,808.52,802.41,806.52,161.09,129922.88
BNB,2025-07-29 22:00:00,806.52,808.45,802.92,805.98,712.58,574325.11
BNB,2025-07-29 23:00:00,805.98,808.85,804.48,805.19,699.58,563295.37
BNB,2025-07-30 00:00:00,805.19,805.74,796.67,805.74,853.31,687542.19
BNB,2025-07-30 01:00:00,805.74,809.16,803.62,808.34,259.04,209391.24
BNB,2025-07-30 02:00:00,808.34,810.6,807.53,807.53,117.3,94723.35
BNB,2025-07-30 03:00:00,807.53,808.45,804.08,804.67,322.31,259352.01
BNB,2025-07-30 04:00:00,804.67,805.04,799.26,799.73,333.07,266367.53
BNB,2025-07-30 05:00:00,799.73,802.09,797.73,800.68,2048.43,1640129.3
BNB,2025-07-30 06:00:00,800.68,805.76,802.09,804.81,1467.54,1181091.64
BNB,2025-07-30 07:00:00,804.81,805.06,799.39,800.34,455.46,364521.51
BNB,2025-07-30 08:00:00,800.34,806.68,801.7,803.95,1177.05,946294.33
BNB,2025-07-30 09:00:00,803.95,803.12,797.8,799.46,1002.91,801781.64
BNB,2025-07-30 10:00:00,799.46,799.37,793.12,794.3,999.4,793821.58
BNB,2025-07-30 11:00:00,794.3,791.86,787.15,788.45,1237.96,976067.45
BNB,2025-07-30 12:00:00,788.45,790.19,781.6,782.78,1739.38,1361543.31
BNB,2025-07-30 13:00:00,782.78,784.6,780.36,784.36,1314.93,1031380.94
BNB,2025-07-30 14:00:00,784.28,796.48,793.42,794.57,878.97,698401.72
BNB,2025-07-30 15:00:00,795.6,790.86,786.85,790.86,991.76,784340.58
BNB,2025-07-30 16:00:00,790.86,791.87,788.7,791.29,531.25,420370.68
BNB,2025-07-30 17:00:00,791.29,792.62,788.61,792.15,552.76,437867.87
BNB,2025-07-30 18:00:00,792.15,786.7,780.29,780.64,963.68,752290.37
BNB,2025-07-30 19:00:00,780.64,785.68,773.76,785.33,1744.46,1369978.9
BNB,2025-07-30 20:00:00,785.33,787.55,785.09,785.21,304.94,239440.69
BNB,2025-07-30 21:00:00,785.21,789.76,784.95,786.95,270.71,213034.52
BNB,2025-07-30 22:00:00,786.95,789.37,786.31,787.84,277.31,218476.43
BNB,2025-07-30 23:00:00,787.84,794.57,790.09,793.62,388.63,308426.14
BNB,2025-07-31 00:00:00,793.62,797.65,794.45,796.7,1179.89,940017.67
BNB,2025-07-31 01:00:00,796.7,796.17,793.22,795.82,293.61,233660.85
BNB,2025-07-31 02:00:00,795.82,798.46,795.5,796.68,715.5,570025.48
BNB,2025-07-31 03:00:00,796.68,799.37,796.88,799.01,366.94,293188.92
BNB,2025-07-31 04:00:00,799.01,803.65,797.49,802.7,887.74,712590.76
BNB,2025-07-31 05:00:00,802.7,802.87,800.5,801.33,714.55,572589.51
BNB,2025-07-31 06:00:00,801.33,804.18,802.4,803.47,360.55,289691.33
BNB,2025-07-31 07:00:00,803.47,805.26,802.3,803.84,1646.69,1323673.33
