coin,timestamp,open,high,low,close,volume_from,volume_to
ADA,2025-07-23 13:00:00,0.8348,0.84,0.809,0.8183,18493335.95,15270495.31
ADA,2025-07-23 14:00:00,0.8183,0.8315,0.815,0.8271,7547085.15,6231006.71
ADA,2025-07-23 15:00:00,0.8271,0.8355,0.8176,0.8348,4117448.4,3401217.59
ADA,2025-07-23 16:00:00,0.8348,0.8348,0.8124,0.814,6247060.49,5129823.22
ADA,2025-07-23 17:00:00,0.814,0.8186,0.7995,0.8133,10613968.2,8571279.36
ADA,2025-07-23 18:00:00,0.8133,0.8213,0.8117,0.821,3338404.24,2724752.9
ADA,2025-07-23 19:00:00,0.821,0.8214,0.8134,0.8138,4678014.12,3827508.87
ADA,2025-07-23 20:00:00,0.8138,0.8199,0.7928,0.8068,9370520.75,7523951.43
ADA,2025-07-23 21:00:00,0.8068,0.8112,0.7861,0.8071,12270456.85,9827270.21
ADA,2025-07-23 22:00:00,0.8071,0.8188,0.8004,0.814,4352358.26,3530451.32
ADA,2025-07-23 23:00:00,0.814,0.8211,0.8133,0.8164,3341601.15,2734313.28
ADA,2025-07-24 00:00:00,0.8164,0.8256,0.8106,0.8253,3476560.44,2855245.3
ADA,2025-07-24 01:00:00,0.8253,0.8254,0.8154,0.824,2814869.29,2312266.32
ADA,2025-07-24 02:00:00,0.824,0.8246,0.8168,0.8195,2178644.82,1788749.44
ADA,2025-07-24 03:00:00,0.8195,0.8256,0.8158,0.8168,2352535.68,1935266.11
ADA,2025-07-24 04:00:00,0.8168,0.8184,0.7988,0.8013,4327346.96,3503618.68
ADA,2025-07-24 05:00:00,0.8013,0.8013,0.7786,0.7796,8220661.24,6508350.32
ADA,2025-07-24 06:00:00,0.7796,0.7921,0.7623,0.7721,9629755.55,7481700.34
ADA,2025-07-24 07:00:00,0.7721,0.7899,0.7632,0.7894,5995340.11,4665061.84
ADA,2025-07-24 08:00:00,0.7894,0.8057,0.7859,0.8029,9268268.11,7425973.64
ADA,2025-07-24 09:00:00,0.8029,0.8049,0.7947,0.8016,5071891.97,4060332.44
ADA,2025-07-24 10:00:00,0.8016,0.8064,0.7871,0.799,7969953.8,6336854.41
ADA,2025-07-24 11:00:00,0.799,0.8173,0.7986,0.8161,9897688.23,8010856.48
ADA,2025-07-24 12:00:00,0.8161,0.819,0.8043,0.8112,3212769.96,2606227.63
ADA,2025-07-24 13:00:00,0.8112,0.8164,0.8026,0.8031,7507577.92,6090500.76
ADA,2025-07-24 14:00:00,0.8031,0.8338,0.7975,0.8327,10566665.11,8625259.15
ADA,2025-07-24 15:00:00,0.8327,0.8389,0.8182,0.8239,16847951.87,13961338.87
ADA,2025-07-24 16:00:00,0.8239,0.8247,0.8053,0.8132,9043396.5,7371079.24
ADA,2025-07-24 17:00:00,0.8132,0.8282,0.8129,0.8241,3928280.46,3230265.41
ADA,2025-07-24 18:00:00,0.8241,0.8281,0.8161,0.8249,7269003.01,5981162.06
ADA,2025-07-24 19:00:00,0.8249,0.8271,0.8167,0.8174,3579093.6,2938043.53
ADA,2025-07-24 20:00:00,0.8174,0.826,0.8164,0.8255,1767574.21,1449960.62
ADA,2025-07-24 21:00:00,0.8255,0.8262,0.8125,0.8148,1837452.58,1503695.41
ADA,2025-07-24 22:00:00,0.8148,0.8187,0.8093,0.8139,2957059.99,2406777.75
ADA,2025-07-24 23:00:00,0.8139,0.814,0.8015,0.8061,4847200.41,3903949.07
ADA,2025-07-25 00:00:00,0.8061,0.8075,0.7962,0.802,2997671.26,2403290.84
ADA,2025-07-25 01:00:00,0.802,0.8118,0.7967,0.8094,3873282.64,3117788.45
