coin,timestamp,open,high,low,close,volume_from,volume_to
DOGE,2025-07-23 13:00:00,0.2497,0.2514,0.2409,0.2445,133888949.45,32983219.77
DOGE,2025-07-23 14:00:00,0.2445,0.2486,0.2438,0.2485,74538299.84,18437474.44
DOGE,2025-07-23 15:00:00,0.2485,0.2502,0.2454,0.2498,48416291.69,12011676.74
DOGE,2025-07-23 16:00:00,0.2498,0.2499,0.2423,0.2425,70765095.52,17369798.69
DOGE,2025-07-23 17:00:00,0.2425,0.2441,0.2371,0.2421,125783877.58,30266110.64
DOGE,2025-07-23 18:00:00,0.2421,0.2449,0.2409,0.2447,37647047.9,9145606.44
DOGE,2025-07-23 19:00:00,0.2447,0.2452,0.2419,0.2423,49711702.79,12096464.32
DOGE,2025-07-23 20:00:00,0.2423,0.2442,0.2337,0.2383,84245695.94,20020782.71
DOGE,2025-07-23 21:00:00,0.2383,0.2398,0.2307,0.2379,75387804.48,17754864.22
DOGE,2025-07-23 22:00:00,0.2379,0.2417,0.2354,0.2399,29825392.02,7144687.69
DOGE,2025-07-23 23:00:00,0.2399,0.2424,0.2397,0.2408,30109591.73,7266223.38
DOGE,2025-07-24 00:00:00,0.2408,0.2455,0.2387,0.2447,44027926.41,10705042.2
DOGE,2025-07-24 01:00:00,0.2447,0.2451,0.2417,0.2447,23348175.34,5689361.69
DOGE,2025-07-24 02:00:00,0.2447,0.2456,0.2434,0.2437,20515329.34,5017607.2
DOGE,2025-07-24 03:00:00,0.2437,0.2468,0.2427,0.2432,54537285.05,13365773.42
DOGE,2025-07-24 04:00:00,0.2432,0.2444,0.237,0.2382,49347480.89,11889432.89
DOGE,2025-07-24 05:00:00,0.2382,0.2385,0.2291,0.2299,57724262.03,13505230.29
DOGE,2025-07-24 06:00:00,0.2299,0.2332,0.222,0.2263,104637498.26,23786547.57
DOGE,2025-07-24 07:00:00,0.2263,0.2333,0.2236,0.2331,70653229.53,16220425.95
DOGE,2025-07-24 08:00:00,0.2331,0.2366,0.2314,0.236,32520065.46,7658069.8
DOGE,2025-07-24 09:00:00,0.236,0.2374,0.2341,0.2361,25253964.0,5956818.02
DOGE,2025-07-24 10:00:00,0.2361,0.2379,0.2314,0.235,53334971.52,12496714.91
DOGE,2025-07-24 11:00:00,0.235,0.2399,0.2346,0.2389,44005488.9,10465951.76
DOGE,2025-07-24 12:00:00,0.2389,0.2397,0.2353,0.2372,30258462.16,7188775.98
DOGE,2025-07-24 13:00:00,0.2372,0.2397,0.2344,0.2347,48548122.56,11503859.39
DOGE,2025-07-24 14:00:00,0.2347,0.2445,0.2328,0.2442,76191412.54,18177190.22
DOGE,2025-07-24 15:00:00,0.2442,0.2452,0.239,0.2401,44758167.81,10851165.18
DOGE,2025-07-24 16:00:00,0.2401,0.2404,0.234,0.2357,34846105.28,8251203.24
DOGE,2025-07-24 17:00:00,0.2357,0.2413,0.2354,0.2397,29998978.67,7157820.27
DOGE,2025-07-24 18:00:00,0.2397,0.2413,0.2378,0.2403,27022004.77,6486829.51
DOGE,2025-07-24 19:00:00,0.2403,0.2417,0.2384,0.2385,23039111.12,5528729.34
DOGE,2025-07-24 20:00:00,0.2385,0.241,0.238,0.2403,12228117.51,2926364.84
DOGE,2025-07-24 21:00:00,0.2403,0.2403,0.2356,0.2363,17578229.59,4171128.95
DOGE,2025-07-24 22:00:00,0.2363,0.2368,0.2341,0.2353,18138715.27,4274102.5
DOGE,2025-07-24 23:00:00,0.2353,0.2353,0.2312,0.2322,44841976.02,10418256.73
DOGE,2025-07-25 00:00:00,0.2322,0.2323,0.2269,0.2275,65455370.14,14998715.74
DOGE,2025-07-25 01:00:00,0.2275,0.2307,0.2259,0.2297,51636668.35,11798858.27
DOGE,2025-07-25 02:00:00,0.2297,0.2315,0.2249,0.2256,64813952.6,14758897.01
DOGE,2025-07-25 03:00:00,0.2256,0.2275,0.2223,0.2255,56215663.55,12631986.55
DOGE,2025-07-25 04:00:00,0.2255,0.2299,0.2228,0.2296,52411480.83,11876000.45
DOGE,2025-07-25 05:00:00,0.2296,0.2297,0.2263,0.2265,32584697.66,7441744.19
DOGE,2025-07-25 06:00:00,0.2265,0.2283,0.2249,0.2272,22723826.59,5144408.01
DOGE,2025-07-25 07:00:00,0.2272,0.2296,0.2228,0.2259,49524085.18,11186764.9
DOGE,2025-07-25 08:00:00,0.2259,0.2295,0.2255,0.2265,37209713.77,8456302.49
DOGE,2025-07-25 09:00:00,0.2265,0.232,0.2253,0.2317,45172151.58,10356474.88
DOGE,2025-07-25 10:00:00,0.2317,0.2333,0.2302,0.2319,35363044.51,8206137.52
DOGE,2025-07-25 11:00:00,0.2319,0.2332,0.2306,0.2311,26286853.8,6088835.56
DOGE,2025-07-25 12:00:00,0.2311,0.2327,0.2294,0.2312,26472526.85,6119950.83
DOGE,2025-07-25 13:00:00,0.2312,0.2325,0.2285,0.2308,29496370.76,6796303.83
DOGE,2025-07-25 14:00:00,0.2308,0.2312,0.2231,0.2235,52732727.47,11935813.48
DOGE,2025-07-25 15:00:00,0.2235,0.2258,0.2209,0.2244,50648115.18,11320237.92
DOGE,2025-07-25 16:00:00,0.2244,0.2272,0.2223,0.2268,31825112.75,7138150.82
DOGE,2025-07-25 17:00:00,0.2268,0.2283,0.2258,0.2266,21134939.13,4801126.48
DOGE,2025-07-25 18:00:00,0.2266,0.2278,0.2262,0.2272,17108703.17,3883511.95
DOGE,2025-07-25 19:00:00,0.2272,0.2293,0.2267,0.2273,20482262.79,4668464.5
DOGE,2025-07-25 20:00:00,0.2273,0.2329,0.2271,0.2325,26202423.61,6045944.8
DOGE,2025-07-25 21:00:00,0.2325,0.2356,0.2325,0.2346,36275759.65,8494313.58
DOGE,2025-07-25 22:00:00,0.2346,0.2362,0.2341,0.2355,19989965.99,4699474.76
DOGE,2025-07-25 23:00:00,0.2355,0.237,0.2351,0.2368,15869143.36,3747005.92
DOGE,2025-07-26 00:00:00,0.2368,0.2368,0.2349,0.2353,23730506.84,5591262.08
DOGE,2025-07-26 01:00:00,0.2353,0.2361,0.233,0.233,17758478.5,4166362.58
DOGE,2025-07-26 02:00:00,0.233,0.2388,0.233,0.2368,32239450.71,7629718.77
DOGE,2025-07-26 03:00:00,0.2368,0.2373,0.2358,0.2367,17217560.81,4073637.97
DOGE,2025-07-26 04:00:00,0.2367,0.2382,0.2366,0.2377,12069185.26,2865632.53
DOGE,2025-07-26 05:00:00,0.2377,0.2389,0.2368,0.2382,13367750.33,3180555.22
DOGE,2025-07-26 06:00:00,0.2382,0.2387,0.2369,0.2373,11734805.74,2788195.99
DOGE,2025-07-26 07:00:00,0.2373,0.2382,0.2368,0.237,4265665.45,1013410.53
DOGE,2025-07-26 08:00:00,0.237,0.239,0.2369,0.2379,13285433.4,3165498.45
DOGE,2025-07-26 09:00:00,0.2379,0.2392,0.2375,0.2392,5639713.55,1344137.44
DOGE,2025-07-26 10:00:00,0.2392,0.2401,0.2385,0.2386,15886782.55,3803058.44
DOGE,2025-07-26 11:00:00,0.2386,0.2388,0.2358,0.2367,11179403.19,2651459.6
DOGE,2025-07-26 12:00:00,0.2367,0.2379,0.2355,0.2377,10412595.21,2466521.05
DOGE,2025-07-26 13:00:00,0.2377,0.2391,0.2369,0.238,9527139.32,2266080.91
DOGE,2025-07-26 14:00:00,0.238,0.2393,0.2367,0.2367,16357080.18,3894551.19
DOGE,2025-07-26 15:00:00,0.2367,0.2399,0.2358,0.2388,15553869.5,3697579.09
DOGE,2025-07-26 16:00:00,0.2388,0.2396,0.2366,0.2368,15637040.81,3722248.09
DOGE,2025-07-26 17:00:00,0.2368,0.2376,0.2359,0.2365,9063872.34,2143615.69
DOGE,2025-07-26 18:00:00,0.2365,0.2385,0.2346,0.2378,18441160.11,4359453.04
DOGE,2025-07-26 19:00:00,0.2378,0.2399,0.2375,0.2392,15663137.15,3739562.63
DOGE,2025-07-26 20:00:00,0.2392,0.2392,0.237,0.2373,7371953.34,1753393.16
DOGE,2025-07-26 21:00:00,0.2373,0.2381,0.2364,0.2378,7825893.54,1857071.76
DOGE,2025-07-26 22:00:00,0.2378,0.2403,0.2366,0.2368,13159824.61,3136626.07
DOGE,2025-07-26 23:00:00,0.2368,0.237,0.2353,0.2355,7201573.2,1700367.23
DOGE,2025-07-27 00:00:00,0.2355,0.2368,0.235,0.2364,12591326.5,2968841.72
DOGE,2025-07-27 01:00:00,0.2364,0.2389,0.2357,0.2377,10380630.56,2469295.96
DOGE,2025-07-27 02:00:00,0.2377,0.24,0.2369,0.2397,11682703.78,2789194.96
DOGE,2025-07-27 03:00:00,0.2397,0.24,0.2385,0.2393,11730660.17,2807090.62
DOGE,2025-07-27 04:00:00,0.2393,0.2416,0.2386,0.2416,11368385.72,2727263.11
DOGE,2025-07-27 05:00:00,0.2416,0.2434,0.2409,0.2418,21637397.07,5240079.36
DOGE,2025-07-27 06:00:00,0.2418,0.2418,0.2385,0.2388,15267682.12,3662584.29
DOGE,2025-07-27 07:00:00,0.2388,0.2391,0.2365,0.2371,10293072.03,2449295.86
DOGE,2025-07-27 08:00:00,0.2371,0.2374,0.2352,0.2362,10068919.2,2379244.01
DOGE,2025-07-27 09:00:00,0.2362,0.2363,0.2343,0.2356,8657315.02,2038520.98
DOGE,2025-07-27 10:00:00,0.2356,0.2393,0.2355,0.2385,9739962.95,2314661.81
DOGE,2025-07-27 11:00:00,0.2385,0.2395,0.2362,0.2365,30784753.17,7291122.89
DOGE,2025-07-27 12:00:00,0.2365,0.2384,0.2355,0.2383,13340280.73,3159001.93
DOGE,2025-07-27 13:00:00,0.2383,0.2392,0.2368,0.2374,24216093.17,5763701.77
DOGE,2025-07-27 14:00:00,0.2374,0.2388,0.2356,0.2363,12885605.62,3056250.12
DOGE,2025-07-27 15:00:00,0.2363,0.237,0.2346,0.2369,47800099.52,11243369.67
DOGE,2025-07-27 16:00:00,0.2369,0.242,0.2368,0.238,60887213.57,14596004.72
DOGE,2025-07-27 17:00:00,0.238,0.24,0.2368,0.2399,32352299.65,7721831.04
DOGE,2025-07-27 18:00:00,0.2399,0.2415,0.2395,0.2406,24069177.0,5789618.96
DOGE,2025-07-27 19:00:00,0.2406,0.2409,0.239,0.2397,10564511.58,2533044.31
DOGE,2025-07-27 20:00:00,0.2397,0.2412,0.2389,0.2393,12610400.08,3028536.49
DOGE,2025-07-27 21:00:00,0.2393,0.2406,0.2377,0.2406,10329962.61,2467312.76
DOGE,2025-07-27 22:00:00,0.2406,0.2438,0.2406,0.2421,32891807.79,7986754.51
DOGE,2025-07-27 23:00:00,0.2421,0.2421,0.2396,0.2408,21397439.03,5148727.33
DOGE,2025-07-28 00:00:00,0.2408,0.2449,0.2399,0.2413,30865643.33,7485886.12
DOGE,2025-07-28 01:00:00,0.2413,0.2414,0.238,0.239,23565813.63,5647939.28
DOGE,2025-07-28 02:00:00,0.239,0.2457,0.2382,0.2442,32262433.82,7845095.87
DOGE,2025-07-28 03:00:00,0.2442,0.2456,0.2426,0.2448,14735467.75,3595487.38
DOGE,2025-07-28 04:00:00,0.2448,0.2456,0.2431,0.2447,15014159.38,3672229.8
DOGE,2025-07-28 05:00:00,0.2447,0.2486,0.2442,0.2476,21095116.64,5213651.83
DOGE,2025-07-28 06:00:00,0.2476,0.2482,0.2454,0.2463,14909827.12,3677592.61
DOGE,2025-07-28 07:00:00,0.2463,0.2463,0.2416,0.2434,19844716.22,4831716.82
DOGE,2025-07-28 08:00:00,0.2434,0.244,0.2408,0.242,41159103.66,9940458.01
DOGE,2025-07-28 09:00:00,0.242,0.2427,0.2403,0.2423,9120188.6,2203227.57
DOGE,2025-07-28 10:00:00,0.2423,0.2426,0.2404,0.2413,16177670.22,3902745.27
DOGE,2025-07-28 11:00:00,0.2413,0.2417,0.2397,0.2415,18281476.49,4396174.24
DOGE,2025-07-28 12:00:00,0.2415,0.2428,0.2406,0.2414,14427612.29,3487980.67
DOGE,2025-07-28 13:00:00,0.2414,0.2414,0.2358,0.2368,45732030.41,10867498.62
DOGE,2025-07-28 14:00:00,0.2368,0.2379,0.2317,0.2321,47066932.02,11002037.11
DOGE,2025-07-28 15:00:00,0.2321,0.2344,0.2306,0.2322,23151423.96,5389207.06
DOGE,2025-07-28 16:00:00,0.2322,0.2338,0.2309,0.2322,12846850.08,2987820.93
DOGE,2025-07-28 17:00:00,0.2322,0.233,0.2301,0.2306,18393712.99,4259409.23
DOGE,2025-07-28 18:00:00,0.2306,0.2311,0.2275,0.229,37448531.18,8566886.25
DOGE,2025-07-28 19:00:00,0.229,0.2307,0.2277,0.2296,23845208.1,5473743.08
DOGE,2025-07-28 20:00:00,0.2296,0.2301,0.2261,0.2278,19620162.87,4476301.15
DOGE,2025-07-28 21:00:00,0.2278,0.2296,0.2262,0.2277,8297288.85,1892562.31
DOGE,2025-07-28 22:00:00,0.2277,0.2284,0.2243,0.226,21563988.86,4886012.66
DOGE,2025-07-28 23:00:00,0.226,0.2271,0.2244,0.2261,9551194.45,2159902.2
DOGE,2025-07-29 00:00:00,0.2261,0.2288,0.2224,0.2259,42329603.49,9569751.97
DOGE,2025-07-29 01:00:00,0.2259,0.2275,0.2245,0.2246,24776045.14,5611379.79
DOGE,2025-07-29 02:00:00,0.2246,0.2253,0.2226,0.2237,15644171.12,3502230.23
DOGE,2025-07-29 03:00:00,0.2237,0.2275,0.2237,0.2271,12076547.1,2727093.14
DOGE,2025-07-29 04:00:00,0.2271,0.2279,0.2257,0.226,12164263.04,2762994.87
DOGE,2025-07-29 05:00:00,0.226,0.2286,0.2259,0.2286,10534170.43,2391715.28
DOGE,2025-07-29 06:00:00,0.2286,0.2302,0.2279,0.2294,24381059.89,5584149.62
DOGE,2025-07-29 07:00:00,0.2294,0.2327,0.2294,0.2319,29021584.26,6700192.16
DOGE,2025-07-29 08:00:00,0.2319,0.2323,0.2296,0.2302,10810214.61,2493620.72
DOGE,2025-07-29 09:00:00,0.2302,0.2304,0.2285,0.229,8196726.24,1880305.99
DOGE,2025-07-29 10:00:00,0.229,0.2291,0.2253,0.2257,10883834.83,2471013.83
DOGE,2025-07-29 11:00:00,0.2257,0.2279,0.2256,0.2276,24860845.4,5631900.3
DOGE,2025-07-29 12:00:00,0.2276,0.231,0.2273,0.23,16093636.49,3691509.44
DOGE,2025-07-29 13:00:00,0.23,0.2306,0.2266,0.2273,13089630.62,2998485.86
DOGE,2025-07-29 14:00:00,0.2273,0.2274,0.2212,0.2228,23109241.9,5185836.15
DOGE,2025-07-29 15:00:00,0.2228,0.2238,0.2206,0.2227,48992499.91,10883208.26
