coin,timestamp,open,high,low,close,volume_from,volume_to
ETH,2025-07-23 13:00:00,3641.96,3664.91,3581.79,3590.04,78173.45,283300992.04
ETH,2025-07-23 14:00:00,3590.04,3627.06,3583.36,3619.4,49881.06,179911458.4
ETH,2025-07-23 15:00:00,3619.4,3649.66,3600.31,3647.3,42424.86,153585577.98
ETH,2025-07-23 16:00:00,3647.3,3647.3,3570.16,3572.83,53689.98,193461083.84
ETH,2025-07-23 17:00:00,3572.83,3595.77,3554.27,3588.45,50141.54,179266358.28
ETH,2025-07-23 18:00:00,3588.45,3608.64,3587.57,3605.73,23959.26,86228306.78
ETH,2025-07-23 19:00:00,3605.73,3614.61,3585.07,3589.63,24619.0,88628950.91
ETH,2025-07-23 20:00:00,3589.63,3606.63,3544.44,3569.21,49475.93,176703352.81
ETH,2025-07-23 21:00:00,3569.21,3594.66,3528.71,3592.53,32055.74,114109399.51
ETH,2025-07-23 22:00:00,3592.53,3622.41,3579.75,3612.46,12341.48,44486586.2
ETH,2025-07-23 23:00:00,3612.46,3636.94,3611.16,3630.21,12881.34,46738288.64
ETH,2025-07-24 00:00:00,3630.21,3648.41,3614.47,3648.05,20395.09,74123344.37
ETH,2025-07-24 01:00:00,3648.05,3650.53,3628.46,3650.09,15406.46,56121308.3
ETH,2025-07-24 02:00:00,3650.09,3654.52,3639.75,3652.02,15340.58,55952446.78
ETH,2025-07-24 03:00:00,3652.02,3667.89,3641.53,3643.39,16153.23,59062266.99
ETH,2025-07-24 04:00:00,3643.39,3659.43,3603.9,3611.76,11805.39,42883904.59
ETH,2025-07-24 05:00:00,3611.76,3612.59,3558.99,3559.24,20068.61,71977241.77
ETH,2025-07-24 06:00:00,3559.24,3581.16,3528.72,3547.11,15377.77,54618342.97
ETH,2025-07-24 07:00:00,3547.11,3598.13,3510.45,3594.15,22389.96,79582433.31
ETH,2025-07-24 08:00:00,3594.15,3646.18,3582.84,3635.44,20307.5,73599742.55
ETH,2025-07-24 09:00:00,3635.44,3645.68,3620.05,3638.16,14776.27,53670088.99
ETH,2025-07-24 10:00:00,3638.16,3660.09,3593.45,3623.62,26939.61,97657993.41
ETH,2025-07-24 11:00:00,3623.62,3663.67,3621.81,3657.52,15167.55,55357370.44
ETH,2025-07-24 12:00:00,3657.52,3662.25,3622.4,3644.85,20326.21,73976570.38
ETH,2025-07-24 13:00:00,3644.85,3657.81,3629.85,3632.28,34031.43,124061737.37
ETH,2025-07-24 14:00:00,3632.28,3741.56,3615.87,3738.49,52965.48,194457878.27
ETH,2025-07-24 15:00:00,3738.49,3775.3,3714.1,3734.79,56698.83,212219879.01
ETH,2025-07-24 16:00:00,3734.79,3737.04,3668.87,3689.13,50601.32,187226461.9
ETH,2025-07-24 17:00:00,3689.13,3736.71,3685.18,3727.02,36603.81,136054270.35
ETH,2025-07-24 18:00:00,3727.02,3753.29,3714.51,3743.69,35787.7,133744487.6
ETH,2025-07-24 19:00:00,3743.69,3757.08,3723.55,3737.22,46988.3,175814692.02
ETH,2025-07-24 20:00:00,3737.22,3745.75,3725.1,3738.04,20168.86,75347972.32
ETH,2025-07-24 21:00:00,3738.04,3745.47,3713.06,3728.58,16782.21,62576525.83
ETH,2025-07-24 22:00:00,3728.58,3737.06,3703.83,3726.49,20301.47,75536270.83
ETH,2025-07-24 23:00:00,3726.49,3726.71,3697.01,3708.76,25710.73,95400360.66
ETH,2025-07-25 00:00:00,3708.76,3710.17,3648.58,3661.1,35616.72,130852496.4
ETH,2025-07-25 01:00:00,3661.1,3692.69,3643.23,3684.75,31626.85,116024022.19
ETH,2025-07-25 02:00:00,3684.75,3692.25,3616.46,3616.67,46644.75,170264501.0
ETH,2025-07-25 03:00:00,3616.67,3634.39,3575.42,3596.73,42955.75,154852150.25
ETH,2025-07-25 04:00:00,3596.73,3652.58,3580.68,3649.09,24082.94,86966242.37
ETH,2025-07-25 05:00:00,3649.09,3650.76,3612.55,3634.69,18249.95,66284380.59
ETH,2025-07-25 06:00:00,3634.69,3644.95,3613.23,3632.82,15355.53,55708482.49
ETH,2025-07-25 07:00:00,3632.82,3668.49,3600.7,3633.22,22871.2,83047280.28
ETH,2025-07-25 08:00:00,3633.22,3678.77,3630.37,3665.57,20408.2,74581439.27
ETH,2025-07-25 09:00:00,3665.57,3733.14,3650.62,3727.26,21341.98,78891275.04
ETH,2025-07-25 10:00:00,3727.26,3750.35,3707.2,3720.02,20142.04,75000785.8
ETH,2025-07-25 11:00:00,3720.02,3744.54,3717.04,3722.08,12950.6,48292710.01
ETH,2025-07-25 12:00:00,3722.08,3735.2,3696.28,3705.34,23410.89,87028050.87
ETH,2025-07-25 13:00:00,3705.34,3721.31,3678.1,3707.45,32293.02,119462134.6
ETH,2025-07-25 14:00:00,3707.45,3710.1,3623.21,3629.65,70159.19,257311471.83
ETH,2025-07-25 15:00:00,3629.65,3648.3,3602.77,3635.26,33635.6,122094759.11
ETH,2025-07-25 16:00:00,3635.26,3646.78,3618.23,3641.96,24266.15,88192750.71
ETH,2025-07-25 17:00:00,3641.96,3653.91,3622.74,3637.62,20012.76,72811716.87
ETH,2025-07-25 18:00:00,3637.62,3658.53,3636.64,3651.03,18094.77,66031592.11
ETH,2025-07-25 19:00:00,3651.03,3660.94,3642.19,3642.6,44552.82,162777493.16
ETH,2025-07-25 20:00:00,3642.6,3698.7,3641.11,3686.58,22025.83,80957290.34
ETH,2025-07-25 21:00:00,3686.58,3728.82,3686.45,3720.72,27286.36,101342165.71
ETH,2025-07-25 22:00:00,3720.72,3730.87,3716.36,3721.32,10956.01,40787483.02
ETH,2025-07-25 23:00:00,3721.32,3730.46,3710.21,3726.01,7641.17,28424400.38
ETH,2025-07-26 00:00:00,3726.01,3729.25,3712.26,3726.49,8428.93,31370251.07
ETH,2025-07-26 01:00:00,3726.49,3726.91,3700.41,3702.73,10015.38,37209096.29
ETH,2025-07-26 02:00:00,3702.73,3767.74,3702.7,3743.55,25865.44,96767192.36
ETH,2025-07-26 03:00:00,3743.55,3748.23,3729.95,3740.76,6659.13,24893061.64
ETH,2025-07-26 04:00:00,3740.76,3754.57,3738.56,3749.51,4756.48,17822402.24
ETH,2025-07-26 05:00:00,3749.51,3758.03,3735.53,3749.56,4084.01,15301253.9
ETH,2025-07-26 06:00:00,3749.56,3751.56,3733.67,3740.92,3624.95,13565621.05
ETH,2025-07-26 07:00:00,3740.92,3749.74,3739.43,3743.7,2397.85,8978083.28
ETH,2025-07-26 08:00:00,3743.7,3780.12,3743.69,3763.96,7693.33,28956829.66
ETH,2025-07-26 09:00:00,3763.96,3766.63,3750.72,3760.32,4445.65,16703461.77
ETH,2025-07-26 10:00:00,3760.32,3784.31,3754.27,3761.16,6738.34,25403766.31
ETH,2025-07-26 11:00:00,3761.16,3771.46,3732.79,3741.07,13415.68,50344774.76
ETH,2025-07-26 12:00:00,3741.07,3753.2,3728.35,3743.96,9529.82,35664392.42
ETH,2025-07-26 13:00:00,3743.96,3756.31,3737.89,3745.47,8388.84,31443820.51
ETH,2025-07-26 14:00:00,3745.47,3750.35,3727.27,3730.27,12108.64,45247673.47
ETH,2025-07-26 15:00:00,3730.27,3741.47,3718.01,3737.3,10554.97,39357526.77
ETH,2025-07-26 16:00:00,3737.3,3742.73,3722.28,3729.6,11676.66,43562048.67
ETH,2025-07-26 17:00:00,3729.6,3736.64,3723.59,3725.61,7420.52,27668075.51
ETH,2025-07-26 18:00:00,3725.61,3756.83,3711.53,3741.81,12865.07,48046723.0
ETH,2025-07-26 19:00:00,3741.81,3757.46,3741.55,3752.2,4771.79,17884371.1
ETH,2025-07-26 20:00:00,3752.2,3753.21,3735.78,3746.58,5886.65,22044457.46
ETH,2025-07-26 21:00:00,3746.58,3764.52,3739.71,3760.13,4505.08,16894920.75
ETH,2025-07-26 22:00:00,3760.13,3794.86,3743.84,3751.99,16850.73,63494108.28
