coin,timestamp,open,high,low,close,volume_from,volume_to
DOT,2025-07-23 13:00:00,4.241,4.278,4.128,4.179,684822.51,2887432.7
DOT,2025-07-23 14:00:00,4.179,4.277,4.171,4.23,622437.29,2635898.37
DOT,2025-07-23 15:00:00,4.23,4.254,4.187,4.243,203839.76,859274.95
DOT,2025-07-23 16:00:00,4.243,4.243,4.14,4.147,355554.17,1485569.4
DOT,2025-07-23 17:00:00,4.147,4.164,4.08,4.143,461298.77,1896691.17
DOT,2025-07-23 18:00:00,4.143,4.186,4.142,4.176,191992.72,799675.62
DOT,2025-07-23 19:00:00,4.176,4.181,4.144,4.146,157744.26,656228.18
DOT,2025-07-23 20:00:00,4.146,4.165,4.027,4.098,420074.5,1712905.86
DOT,2025-07-23 21:00:00,4.098,4.119,4.002,4.1,317109.8,1284871.71
DOT,2025-07-23 22:00:00,4.1,4.149,4.075,4.131,195099.76,804378.67
DOT,2025-07-23 23:00:00,4.131,4.146,4.108,4.114,372818.62,1539115.86
DOT,2025-07-24 00:00:00,4.114,4.177,4.089,4.176,446730.17,1847394.09
DOT,2025-07-24 01:00:00,4.176,4.184,4.133,4.182,164193.94,682811.28
DOT,2025-07-24 02:00:00,4.182,4.195,4.156,4.171,168267.96,702305.85
DOT,2025-07-24 03:00:00,4.171,4.201,4.143,4.146,214864.28,897849.16
DOT,2025-07-24 04:00:00,4.146,4.156,4.063,4.072,159819.55,656553.77
DOT,2025-07-24 05:00:00,4.072,4.074,3.945,3.955,342024.19,1371894.08
DOT,2025-07-24 06:00:00,3.955,4.042,3.899,3.946,281812.65,1116104.92
DOT,2025-07-24 07:00:00,3.946,4.016,3.902,4.011,195987.57,777318.36
DOT,2025-07-24 08:00:00,4.011,4.04,3.988,4.01,184818.28,742932.97
DOT,2025-07-24 09:00:00,4.01,4.02,3.96,3.972,400268.87,1596302.37
DOT,2025-07-24 10:00:00,3.972,3.996,3.918,3.964,133794.92,530001.0
DOT,2025-07-24 11:00:00,3.964,4.035,3.962,4.024,107737.86,431903.86
DOT,2025-07-24 12:00:00,4.024,4.033,3.977,3.996,111760.08,446898.53
DOT,2025-07-24 13:00:00,3.996,4.035,3.972,3.975,125803.6,503745.34
DOT,2025-07-24 14:00:00,3.975,4.105,3.943,4.1,191248.92,770486.24
DOT,2025-07-24 15:00:00,4.1,4.137,4.062,4.084,309787.4,1272506.53
DOT,2025-07-24 16:00:00,4.084,4.09,3.987,4.014,165278.05,668582.46
DOT,2025-07-24 17:00:00,4.014,4.102,4.011,4.08,66141.4,269187.95
DOT,2025-07-24 18:00:00,4.08,4.104,4.054,4.094,80507.83,329026.18
DOT,2025-07-24 19:00:00,4.094,4.112,4.06,4.062,111315.54,455289.7
DOT,2025-07-24 20:00:00,4.062,4.097,4.058,4.089,85013.09,346484.02
DOT,2025-07-24 21:00:00,4.089,4.091,4.025,4.038,61600.79,249637.27
DOT,2025-07-24 22:00:00,4.038,4.062,4.013,4.035,92915.15,374663.85
DOT,2025-07-24 23:00:00,4.035,4.035,3.985,4.003,175277.92,701629.61
DOT,2025-07-25 00:00:00,4.003,4.007,3.934,3.957,177736.19,704906.79
DOT,2025-07-25 01:00:00,3.957,4.013,3.934,4.001,102484.38,407170.43
DOT,2025-07-25 02:00:00,4.001,4.016,3.924,3.934,178936.71,710367.31
DOT,2025-07-25 03:00:00,3.934,3.959,3.865,3.931,344665.22,1349095.54
DOT,2025-07-25 04:00:00,3.931,3.962,3.884,3.96,237086.32,931168.37
DOT,2025-07-25 05:00:00,3.96,3.969,3.916,3.919,100726.75,396736.32
DOT,2025-07-25 06:00:00,3.919,3.956,3.894,3.94,132034.49,517874.82
DOT,2025-07-25 07:00:00,3.94,3.982,3.893,3.937,154789.31,609756.59
DOT,2025-07-25 08:00:00,3.937,3.982,3.926,3.951,126052.88,497480.89
DOT,2025-07-25 09:00:00,3.951,4.024,3.939,4.024,185143.01,738838.06
DOT,2025-07-25 10:00:00,4.024,4.048,4.011,4.041,120736.5,486417.84
