coin,timestamp,open,high,low,close,volume_from,volume_to
XRP,2025-07-23 13:00:00,3.349,3.372,3.224,3.265,55507343.74,183412999.75
XRP,2025-07-23 14:00:00,3.265,3.321,3.252,3.306,26789933.0,88257881.16
XRP,2025-07-23 15:00:00,3.306,3.332,3.268,3.324,15495683.11,51064733.24
XRP,2025-07-23 16:00:00,3.324,3.324,3.229,3.231,18796543.44,61417836.01
XRP,2025-07-23 17:00:00,3.231,3.249,3.16,3.241,41884775.65,134417803.82
XRP,2025-07-23 18:00:00,3.241,3.264,3.234,3.252,14486943.75,47030808.68
XRP,2025-07-23 19:00:00,3.252,3.254,3.182,3.185,18297976.72,58959442.01
XRP,2025-07-23 20:00:00,3.185,3.217,3.073,3.147,54769735.98,171869559.75
XRP,2025-07-23 21:00:00,3.147,3.178,3.05,3.139,27037965.31,84330181.47
XRP,2025-07-23 22:00:00,3.139,3.2,3.103,3.176,18843613.66,59599400.81
XRP,2025-07-23 23:00:00,3.176,3.205,3.174,3.186,12466490.91,39769053.24
XRP,2025-07-24 00:00:00,3.186,3.231,3.152,3.225,14848202.65,47611860.18
XRP,2025-07-24 01:00:00,3.225,3.234,3.187,3.233,9313829.16,29922290.11
XRP,2025-07-24 02:00:00,3.233,3.238,3.196,3.2,6954957.98,22365848.23
XRP,2025-07-24 03:00:00,3.2,3.232,3.187,3.194,6604200.28,21201442.11
XRP,2025-07-24 04:00:00,3.194,3.198,3.119,3.128,11717491.19,37018756.17
XRP,2025-07-24 05:00:00,3.128,3.132,3.035,3.039,23664311.84,72997134.84
XRP,2025-07-24 06:00:00,3.039,3.104,2.96,3.014,40070976.02,121916146.61
XRP,2025-07-24 07:00:00,3.014,3.078,2.975,3.077,18770495.19,57035385.0
XRP,2025-07-24 08:00:00,3.077,3.112,3.057,3.103,12384859.03,38323086.28
XRP,2025-07-24 09:00:00,3.103,3.121,3.091,3.117,9313079.74,28941899.59
XRP,2025-07-24 10:00:00,3.117,3.132,3.067,3.105,13157302.03,40799087.02
XRP,2025-07-24 11:00:00,3.105,3.18,3.098,3.171,20224234.64,63642937.31
XRP,2025-07-24 12:00:00,3.171,3.182,3.14,3.163,12627058.45,39895411.01
XRP,2025-07-24 13:00:00,3.163,3.193,3.134,3.137,14443612.82,45693485.83
XRP,2025-07-24 14:00:00,3.137,3.252,3.121,3.246,21146045.42,67402998.14
XRP,2025-07-24 15:00:00,3.246,3.268,3.212,3.228,23187270.85,75152148.09
XRP,2025-07-24 16:00:00,3.228,3.233,3.172,3.198,17405139.79,55745831.23
XRP,2025-07-24 17:00:00,3.198,3.244,3.195,3.229,10130326.89,32651756.67
XRP,2025-07-24 18:00:00,3.229,3.254,3.218,3.24,12169688.47,39439595.47
XRP,2025-07-24 19:00:00,3.24,3.262,3.21,3.211,12981862.78,42069803.87
XRP,2025-07-24 20:00:00,3.211,3.244,3.211,3.231,7500419.03,24191455.74
XRP,2025-07-24 21:00:00,3.231,3.232,3.185,3.185,6588970.61,21133880.47
XRP,2025-07-24 22:00:00,3.185,3.198,3.174,3.18,6205605.69,19768456.29
XRP,2025-07-24 23:00:00,3.18,3.18,3.128,3.147,9610099.33,30269714.62
XRP,2025-07-25 00:00:00,3.147,3.158,3.094,3.109,14329206.87,44694245.82
XRP,2025-07-25 01:00:00,3.109,3.163,3.102,3.151,8492565.37,26598664.7
XRP,2025-07-25 02:00:00,3.151,3.155,3.07,3.077,11119170.11,34510779.17
XRP,2025-07-25 03:00:00,3.077,3.107,3.047,3.07,13803060.68,42413975.83
XRP,2025-07-25 04:00:00,3.07,3.12,3.048,3.116,9505429.62,29316432.85
XRP,2025-07-25 05:00:00,3.116,3.119,3.073,3.077,7039512.9,21794643.05
XRP,2025-07-25 06:00:00,3.077,3.09,3.047,3.074,9306298.53,28556857.93
XRP,2025-07-25 07:00:00,3.074,3.106,3.037,3.076,15500901.6,47543362.71
XRP,2025-07-25 08:00:00,3.076,3.11,3.064,3.08,10019959.44,30925049.63
XRP,2025-07-25 09:00:00,3.08,3.142,3.067,3.136,8538893.7,26567219.24
XRP,2025-07-25 10:00:00,3.136,3.145,3.111,3.129,9568724.13,29910477.29
XRP,2025-07-25 11:00:00,3.129,3.154,3.128,3.135,6099030.96,19146816.76
XRP,2025-07-25 12:00:00,3.135,3.152,3.098,3.124,9426564.92,29434001.97
XRP,2025-07-25 13:00:00,3.124,3.139,3.096,3.12,8259891.49,25744571.78
XRP,2025-07-25 14:00:00,3.12,3.123,3.001,3.006,47159963.89,143784470.76
XRP,2025-07-25 15:00:00,3.006,3.047,3.001,3.038,18895686.52,57205617.68
XRP,2025-07-25 16:00:00,3.038,3.064,3.027,3.06,9208053.67,28022619.65
XRP,2025-07-25 17:00:00,3.06,3.072,3.05,3.061,7882439.4,24140110.28
XRP,2025-07-25 18:00:00,3.061,3.077,3.057,3.072,6246479.53,19148376.79
XRP,2025-07-25 19:00:00,3.072,3.099,3.066,3.072,5328797.55,16426744.5
XRP,2025-07-25 20:00:00,3.072,3.134,3.072,3.122,7080319.06,22008569.24
XRP,2025-07-25 21:00:00,3.122,3.149,3.122,3.14,7782896.28,24416245.65
XRP,2025-07-25 22:00:00,3.14,3.151,3.135,3.144,6006174.58,18876836.09
XRP,2025-07-25 23:00:00,3.144,3.145,3.133,3.143,3892287.31,12218881.99
XRP,2025-07-26 00:00:00,3.143,3.145,3.125,3.135,4676364.06,14662498.97
XRP,2025-07-26 01:00:00,3.135,3.14,3.109,3.111,4721302.8,14759466.07
XRP,2025-07-26 02:00:00,3.111,3.163,3.111,3.152,6263534.06,19661796.16
XRP,2025-07-26 03:00:00,3.152,3.153,3.136,3.145,3417680.3,10744049.37
XRP,2025-07-26 04:00:00,3.145,3.158,3.141,3.15,3244971.05,10227062.05
XRP,2025-07-26 05:00:00,3.15,3.177,3.141,3.174,4893417.71,15474896.43
XRP,2025-07-26 06:00:00,3.174,3.174,3.155,3.159,3687860.09,11666638.77
XRP,2025-07-26 07:00:00,3.159,3.167,3.154,3.156,1660463.03,5247902.45
XRP,2025-07-26 08:00:00,3.156,3.18,3.155,3.176,2373173.46,7520152.14
XRP,2025-07-26 09:00:00,3.176,3.199,3.173,3.195,3256588.88,10374122.25
XRP,2025-07-26 10:00:00,3.195,3.213,3.194,3.201,4849869.49,15541265.68
