coin,timestamp,open,high,low,close,volume_from,volume_to
SOL,2025-07-23 13:00:00,194.26,194.96,187.81,189.28,469554.02,89810013.98
SOL,2025-07-23 14:00:00,189.28,192.45,188.81,191.69,231751.06,44262165.54
SOL,2025-07-23 15:00:00,191.69,192.95,189.81,192.81,122862.32,23501945.49
SOL,2025-07-23 16:00:00,192.81,192.84,188.25,188.38,138606.68,26405537.76
SOL,2025-07-23 17:00:00,188.38,189.36,186.11,188.82,256579.92,48141522.66
SOL,2025-07-23 18:00:00,188.82,190.36,188.31,190.3,125482.67,23780638.52
SOL,2025-07-23 19:00:00,190.3,190.33,188.12,188.25,165475.78,31314646.93
SOL,2025-07-23 20:00:00,188.25,189.82,184.53,186.86,264817.63,49489272.12
SOL,2025-07-23 21:00:00,186.86,188.3,184.1,188.02,116972.94,21814111.91
SOL,2025-07-23 22:00:00,188.02,189.79,186.62,189.17,78461.51,14793284.18
SOL,2025-07-23 23:00:00,189.17,190.16,189.01,189.5,41759.3,7921234.71
SOL,2025-07-24 00:00:00,189.5,191.11,188.6,191.08,71027.26,13524930.93
SOL,2025-07-24 01:00:00,191.08,191.68,189.41,191.64,56989.45,10860833.98
SOL,2025-07-24 02:00:00,191.64,191.75,190.51,191.22,40553.39,7751036.45
SOL,2025-07-24 03:00:00,191.22,192.02,189.8,189.99,33741.4,6448537.26
SOL,2025-07-24 04:00:00,189.99,190.21,185.46,186.17,88936.68,16693681.65
SOL,2025-07-24 05:00:00,186.17,186.29,181.46,181.98,202414.86,37234649.3
SOL,2025-07-24 06:00:00,181.98,184.23,179.93,181.22,172108.88,31298241.12
SOL,2025-07-24 07:00:00,181.22,184.42,179.48,184.3,128971.88,23482058.91
SOL,2025-07-24 08:00:00,184.3,186.46,183.38,186.15,75776.89,14051043.8
SOL,2025-07-24 09:00:00,186.15,186.59,184.61,185.32,76088.29,14125412.96
SOL,2025-07-24 10:00:00,185.32,186.37,183.05,185.0,87623.5,16169621.74
SOL,2025-07-24 11:00:00,185.0,187.02,184.99,186.53,68385.02,12725792.74
SOL,2025-07-24 12:00:00,186.53,186.97,184.76,186.14,70647.4,13127302.35
SOL,2025-07-24 13:00:00,186.14,187.47,184.29,184.68,105030.71,19543050.79
SOL,2025-07-24 14:00:00,184.68,190.23,183.48,189.66,196168.54,36668997.67
SOL,2025-07-24 15:00:00,189.66,191.93,187.7,188.63,214105.78,40646253.9
SOL,2025-07-24 16:00:00,188.63,188.97,184.98,185.94,153653.65,28698001.38
SOL,2025-07-24 17:00:00,185.94,189.72,185.82,188.88,150729.77,28305743.75
SOL,2025-07-24 18:00:00,188.88,189.99,187.91,189.37,156612.91,29636152.29
SOL,2025-07-24 19:00:00,189.37,190.16,188.0,188.09,123699.68,23364725.92
SOL,2025-07-24 20:00:00,188.09,189.14,187.71,188.93,50144.55,9446247.45
SOL,2025-07-24 21:00:00,188.93,188.97,185.71,185.73,80886.12,15136744.6
SOL,2025-07-24 22:00:00,185.73,185.98,183.53,183.87,155449.37,28668374.71
SOL,2025-07-24 23:00:00,183.87,183.87,182.17,182.97,125651.4,22986725.81
SOL,2025-07-25 00:00:00,182.97,183.25,180.7,182.02,113245.55,20600767.97
SOL,2025-07-25 01:00:00,182.02,183.52,180.91,183.08,98587.92,17978123.99
SOL,2025-07-25 02:00:00,183.08,183.55,178.71,178.95,178498.07,32266000.38
SOL,2025-07-25 03:00:00,178.95,179.76,175.77,177.83,261575.68,46497558.55
SOL,2025-07-25 04:00:00,177.83,179.7,176.17,179.58,124699.21,22200584.28
