coin,timestamp,open,high,low,close,volume_from,volume_to
USDT,2025-07-23 13:00:00,1.0,1.022,0.9984,1.001,78173.45,78228.58
USDT,2025-07-23 14:00:00,1.001,1.003,0.9908,1.001,49881.06,49917.88
USDT,2025-07-23 15:00:00,1.001,1.001,0.9879,1.001,42424.86,42460.13
USDT,2025-07-23 16:00:00,1.001,1.021,0.9997,1.0,53689.98,53715.39
USDT,2025-07-23 17:00:00,1.001,1.001,0.9937,1.001,1561.72,1562.55
USDT,2025-07-23 18:00:00,1.001,1.001,0.9973,1.0,1040.72,1041.24
USDT,2025-07-23 19:00:00,1.0,1.0,1.0,1.0,75470931.16,75493729.38
USDT,2025-07-23 20:00:00,1.001,1.011,0.9936,1.0,49475.93,49500.48
USDT,2025-07-23 21:00:00,1.0,1.001,0.9825,1.0,32055.74,32065.11
USDT,2025-07-23 22:00:00,1.0,1.001,0.9952,1.0,464.91,465.12
USDT,2025-07-23 23:00:00,1.001,1.002,0.9953,1.001,12881.34,12888.12
USDT,2025-07-24 00:00:00,1.0,1.001,0.9965,1.0,724.71,725.06
USDT,2025-07-24 01:00:00,1.001,1.001,0.9948,1.001,15406.46,15417.06
USDT,2025-07-24 02:00:00,1.001,1.001,0.9973,1.001,15340.58,15350.92
USDT,2025-07-24 03:00:00,1.001,1.007,1.0,1.001,16153.23,16164.01
USDT,2025-07-24 04:00:00,1.001,1.006,0.9997,1.001,449.84,450.16
USDT,2025-07-24 05:00:00,1.001,1.016,1.001,1.001,20068.61,20083.9
USDT,2025-07-24 06:00:00,1.001,1.004,1.0,1.001,518.79,519.13
USDT,2025-07-24 07:00:00,1.001,1.001,0.9899,1.001,676.42,676.83
USDT,2025-07-24 08:00:00,1.001,1.004,0.9861,1.001,20307.5,20319.41
USDT,2025-07-24 09:00:00,1.001,1.003,0.9989,1.0,634.2,634.51
USDT,2025-07-24 10:00:00,1.001,1.011,0.9924,1.001,26939.61,26958.43
USDT,2025-07-24 11:00:00,1.001,1.002,0.9909,1.001,15167.55,15177.76
USDT,2025-07-24 12:00:00,1.001,1.002,0.9986,1.001,671.27,671.67
USDT,2025-07-24 13:00:00,1.001,1.008,0.9999,1.001,34031.43,34052.43
USDT,2025-07-24 14:00:00,1.001,1.002,0.9682,1.001,52965.48,53020.37
