coin,timestamp,open,high,low,close,volume_from,volume_to
TRX,2025-07-23 13:00:00,0.3139,0.3142,0.3097,0.31,13908199.32,4346110.47
TRX,2025-07-23 14:00:00,0.31,0.3137,0.3098,0.3125,21404235.49,6684452.76
TRX,2025-07-23 15:00:00,0.3125,0.3132,0.3107,0.3126,7503931.39,2340408.57
TRX,2025-07-23 16:00:00,0.3126,0.3127,0.3098,0.3098,8234258.02,2560995.07
TRX,2025-07-23 17:00:00,0.3098,0.3104,0.3069,0.3088,11996735.96,3702793.39
TRX,2025-07-23 18:00:00,0.3088,0.3104,0.3087,0.3104,5595555.96,1732249.57
TRX,2025-07-23 19:00:00,0.3104,0.3104,0.3092,0.3096,5968971.17,1849273.7
TRX,2025-07-23 20:00:00,0.3096,0.31,0.3063,0.3081,9606878.82,2958196.54
TRX,2025-07-23 21:00:00,0.3081,0.3086,0.3052,0.3073,11181220.17,3429861.87
TRX,2025-07-23 22:00:00,0.3073,0.31,0.3069,0.3093,6701578.35,2067933.15
TRX,2025-07-23 23:00:00,0.3093,0.3099,0.3093,0.3095,3263399.32,1010402.12
TRX,2025-07-24 00:00:00,0.3095,0.3111,0.3087,0.3108,10460587.29,3242967.86
TRX,2025-07-24 01:00:00,0.3108,0.3109,0.3096,0.3105,4329952.98,1343220.02
TRX,2025-07-24 02:00:00,0.3105,0.3109,0.3098,0.3103,2532661.5,785945.54
TRX,2025-07-24 03:00:00,0.3103,0.312,0.3102,0.3103,4746775.23,1476436.7
TRX,2025-07-24 04:00:00,0.3103,0.3104,0.3065,0.3065,9897578.16,3054973.24
TRX,2025-07-24 05:00:00,0.3065,0.3066,0.3019,0.3019,11394171.77,3468401.94
TRX,2025-07-24 06:00:00,0.3019,0.3048,0.3006,0.3021,18207508.43,5508876.41
TRX,2025-07-24 07:00:00,0.3021,0.3069,0.3014,0.3069,11966823.21,3639842.99
TRX,2025-07-24 08:00:00,0.3069,0.309,0.3059,0.3084,8486014.33,2608562.62
TRX,2025-07-24 09:00:00,0.3084,0.3091,0.3079,0.3085,5476908.83,1688750.85
TRX,2025-07-24 10:00:00,0.3085,0.3092,0.3069,0.3083,7690509.65,2368662.5
TRX,2025-07-24 11:00:00,0.3083,0.3095,0.3079,0.3092,4753636.71,1467798.92
TRX,2025-07-24 12:00:00,0.3092,0.3097,0.3085,0.3092,5914741.62,1828047.34
TRX,2025-07-24 13:00:00,0.3092,0.3118,0.3091,0.3107,9852555.57,3060814.79
TRX,2025-07-24 14:00:00,0.3107,0.3136,0.3099,0.3136,10537592.96,3284391.28
TRX,2025-07-24 15:00:00,0.3136,0.3143,0.3125,0.3134,10063854.89,3153777.41
TRX,2025-07-24 16:00:00,0.3134,0.3141,0.3117,0.313,8280646.65,2591224.35
